source,target,language_pair,legal_category,legal_entity
Seeds originating elsewhere than in the territory of either Party,"Samen, gleich welchen Ursprungs, sofern er nicht das Gebiet einer der beiden Parteien betrifft",en-de,Administrative Law,party
"Where a Member State has set up a central register of aid separately granted under Articles 8, 10, 13 or 14 respectively, containing complete information on all such aid granted by any authority within that Member State, the requirement of the first subparagraph of Article 18(3) no longer applies from the moment the register covers a period of three years.","Hat ein Mitgliedstaat ein zentrales Register der nach den Artikeln 8, 10, 13 bzw. 14 gesondert gewährten Beihilfen mit den vollständigen Angaben über die von allen Behörden in dem Mitgliedstaat gewährten Beihilfen eingerichtet, so gilt die Bestimmung von Artikel 18 Absatz 3 Unterabsatz 1 ab dem Zeitpunkt nicht mehr, an dem das Register einen Zeitraum von drei Jahren erfasst.",en-de,Intellectual Property (IP),"authority, state, member, article, register, set, information"
"it shall, for a least thirty days prior to consignment, have been free from all other compulsorily notifiable diseases which are contagious or infectious for the animal species in question;",in dem Betrieb dürfen des weiteren seit mindestens 30 Tagen vor der Verladung keine sonstigen auf die betreffende Tierart übertragbaren anzeigepflichtigen Krankheiten aufgetreten sein.,en-de,Environmental Law,consignment
"Directive 2002/21/EC of the European Parliament and of the Council of 7 March 2002 on a common regulatory framework for electronic communications networks and services (the Framework Directive)(3) lays down the tasks of national regulatory authorities, which include cooperating with each other and the Commission in a transparent manner to ensure the development of consistent regulatory practice, contributing to ensuring a high level of protection of personal data and privacy, and ensuring that the integrity and security of public communications networks are ensured.","Die Richtlinie 2002/21/EG des Europäischen Parlaments und des Rates vom 7. März 2002 über einen gemeinsamen Rechtsrahmen für elektronische Kommunikationsnetze und -dienste (Rahmenrichtlinie)(3) regelt die Aufgaben der nationalen Regulierungsbehörden; diese sollen unter anderem untereinander und mit der Kommission in transparenter Weise zusammenarbeiten, um die Entwicklung einer einheitlichen Regulierungspraxis sicherzustellen, zur Gewährleistung eines hohes Datenschutzniveaus beitragen und die Integrität und Sicherheit der öffentlichen Kommunikationsnetze gewährleisten.",en-de,Tax & Financial Regulation,"practice, security, privacy, commission, communications, public"
3 expected time of arrival of the ship in port;.,3 voraussichtliche Ankunftszeit des Schiffes im Hafen;.,en-de,Administrative Law,
"WITHOUT PREJUDICE , WHERE RELEVANT , TO ARTICLES 45 TO 49 , AND SUBJECT TO ARTICLES 88 AND 89 BELOW , RELIEF SHALL BE GRANTED FOR GOODS :","VON DEN EINGANGSABGABEN BEFREIT SIND - GEGEBENENFALLS UNBESCHADET DER ARTIKEL 45 BIS 49 - VORBEHALTLICH DER ARTIKEL 88 UND 89 GEGENSTÄNDE ,",en-de,Legal Theory & Latin Terms,"relief, prejudice, relevant, goods"
"Plants, plant products and other objects, originating outside the territories of the Parties, for which the plant health provisions of both Parties relating to imports lead to equivalent results and which may be traded between them with a plant passport if they are listed in part A of this Appendix or freely if not listed therein","Pflanzen, pflanzliche Erzeugnisse und andere Gegenstände mit Ursprung in anderen Gebieten als demjenigen einer der beiden Parteien, bei denen die pflanzenschutzrechtlichen Vorschriften bei der Einfuhr in die beiden Parteien gleichwertige Ergebnisse bewirken und die zwischen den beiden Parteien mit einem Pflanzenpass, wenn sie in Abschnitt A dieser Anlage genannt sind, oder andernfalls frei gehandelt werden können",en-de,Healthcare Law,"listed, health, equivalent"
Good agricultural and environmental condition,Guter landwirtschaftlicher und ökologischer Zustand,en-de,Contract Law,condition
"the purchase or lease-purchase of new machinery and equipment, including computer software up to the market value of the asset;","Kauf oder Leasingkauf neuer Maschinen und Anlagen, einschließlich Computersoftware, bis zum marktüblichen Wert des Wirtschaftsguts;",en-de,Tax & Financial Regulation,"lease, value, asset"
«Article 51,«Artikel 51,en-de,Legal Theory & Latin Terms,article
"IAS 27, consolidated financial statements and accounting for investments in subsidiaries, and IAS 28, accounting for investments in associates require disclosure of a list of significant subsidiaries and associates.","Die Angabe einer Aufstellung von maßgeblichen Tochterunternehmen und assoziierten Unternehmen wird von IAS 27, Konzernabschlüsse und Bilanzierung von Anteilen an Tochterunternehmen, und von IAS 28, Bilanzierung von Anteilen an assoziierten Unternehmen, verlangt.",en-de,Tax & Financial Regulation,"disclosure, accounting"
Nitromethylidynetrimethanol,Nitromethylidintrimethanol,en-de,Administrative Law,
"general scheme: Caisse nationale de l'assurance-maladie (National Sickness Insurance Fund), Paris","ALLGEMEINES SYSTEM : CAISSE NATIONALE DE L'ASSURANCE-MALADIE (STAATLICHE KRANKENKASSE) , PARIS",en-de,Property & Real Estate Law,insurance
Trave : from the railway bridge and the Holsten bridge (Stadttrave) in Lübeck to a line linking the two outer pier heads of Travemünde and the Pötenitzer Wiek and the Dassower See.,Trave : von der Eisenbahnbrücke und Holstenbrücke (Stadttrave) in Lübeck bis zur Verbindungslinie der beiden äußeren Molenköpfe bei Travemünde mit dem Poetenitzer Wiek und dem Dassower See,en-de,Administrative Law,
ALPES DE HAUTE PROVENCE,ALPES-DE-HAUTE-PROVENCE,en-de,Administrative Law,
"Or, they may wish to consider other methods of communication that provide equivalent or better speed and coverage.",Oder sie möchten gegebenenfalls andere Kommunikationsmethoden mit gleichen oder besseren Eigenschaften in Bezug auf Schnelligkeit und Verbreitung in Erwägung ziehen.,en-de,Legal Theory & Latin Terms,equivalent
The name in the Annex hereto is added to the Annex to Regulation (EC) No 2301/97 and entered in the register of certificates of specific character in accordance with Article 9(1) of Regulation (EEC) No 2082/92.,Die im Anhang der vorliegenden Verordnung angeführte Bezeichnung wird in den Anhang der Verordnung (EG) Nr. 2301/97 und in das Verzeichnis der Bescheinigungen besonderer Merkmale gemäß Artikel 9 Absatz 1 der Verordnung (EWG) Nr. 2082/92 eingetragen.,en-de,Administrative Law,"article, register, regulation"
"The Member States shall ensure that varieties coming from other Member States are subject to the same requirements as those which apply to domestic varieties, in particular as regards the acceptance procedure.","Die Mitgliedstaaten stellen sicher, daß Sorten, die aus anderen Mitgliedstaaten stammen, insbesondere im Zulassungsverfahren denselben Voraussetzungen unterliegen wie die nationalen Sorten.",en-de,Administrative Law,"member, acceptance, procedure"
A bovine herd is considered to be officially tuberculosis-free if: (a) all the animals are free from clinical signs of tuberculosis;,"Als amtlich anerkannter tuberkulosefreier Rinderbestand gilt ein Bestand, in dem a) alle Rinder frei von klinischen Tuberkuloseerscheinungen sind;",en-de,Healthcare Law,
Options,Optionen,en-de,Administrative Law,
AIRCRAFT FLIGHT OPERATIONS,FLUGBETRIEB,en-de,Legal Theory & Latin Terms,flight
General principles and definitions,Allgemeine Grundsätze und Definitionen,en-de,Legal Theory & Latin Terms,definitions
"""Number of enterprises broken down by residence of the parent enterprise"" is part of the number of enterprises (11 11 0).",Die Zahl der Unternehmen nach dem Sitz der Muttergesellschaft ist Teil der Variablen Zahl der Unternehmen (11 11 0).,en-de,Legal Theory & Latin Terms,"residence, parent"
"If such lease transactions are not reflected in the lessee's balance sheet, the economic resources and the level of obligations of an enterprise are understated, thereby distorting financial ratios.","Werden solche Leasingtransaktionen nicht in der Bilanz des Leasingnehmers erfasst, so werden die wirtschaftlichen Ressourcen und die Höhe der Verpflichtungen eines Unternehmens zu niedrig dargestellt, wodurch finanzwirtschaftliche Kennzahlen verzerrt werden.",en-de,Contract Law,"lessee, lease"
The guidelines shall be based on the principles for monitoring and reporting set out in Annex IV.,Die Leitlinien basieren auf den in Anhang IV dargestellten Grundsätzen für die Überwachung und Berichterstattung.,en-de,Administrative Law,set
"As regards the products specified in Article 1 (1) (b), the sluice-gate prices shall be derived from the sluice-gate price for eggs in shell, account being taken of the depreciation in value of the basic material, of the coefficients fixed for such products under Article 5 (2) and of a standard amount representing overhead costs of production and marketing fixed in accordance with the procedure laid down in Article 17.","Die Einschleusungspreise für die in Artikel 1 Absatz 1 Buchstabe b) genannten Erzeugnisse werden vom Einschleusungspreis für Eier in der Schale abgeleitet, und zwar unter Berücksichtigung des Minderwerts des Grundstoffs, der für diese Erzeugnisse gemäß Artikel 5 Absatz 2 festgesetzten Koeffizienten sowie eines nach dem Verfahren des Artikels 17 festgesetzten Pauschbetrags für die allgemeinen Erzeugungs- und Vermarktungskosten.",en-de,Legal Theory & Latin Terms,"material, article, depreciation, value, costs, account, procedure"
Vin de pays de Sainte Marie la Blanche,Vin de pays de Sainte Marie la Blanche,en-de,Administrative Law,
Collection and transport of the animal by-products,Abholung/Sammlung und Beförderung der tierischen Nebenprodukte,en-de,Administrative Law,
2 the expiry date may remain unchanged provided one or more additional verifications are carried out so that the maximum intervals between the verifications prescribed by section 19.1.1 are not exceeded.,"2 das Ablaufdatum kann unverändert bleiben, sofern eine oder mehrere zusätzliche Überprüfungen durchgeführt werden, so dass die nach Abschnitt 19.1.1 vorgeschriebenen höchstzulässigen Zeiträume zwischen den Überprüfungen nicht überschritten werden.",en-de,Legal Theory & Latin Terms,
Legal and technical expertise for policy development on the economic interests of consumers,Für die Ausarbeitung politischer Maßnahmen auf dem Gebiet der wirtschaftlichen Interessen der Verbraucher erforderliches juristisches und technisches Fachwissen,en-de,Legal Theory & Latin Terms,policy
extract from Menta piperata,Extrakt von Menta piperata,en-de,Administrative Law,
Regulation (EC) No 1334/2001 should therefore be amended accordingly.,Die Verordnung (EG) Nr. 1334/2001 sollte daher entsprechend geändert werden.,en-de,Administrative Law,regulation
Accreditation of registrars,Zulassung der Registrierstellen,en-de,Administrative Law,
Council Regulation (EC) No 869/2004 of 26 April 2004 amending Regulation (EC) No 1936/2001 laying down control measures applicable to fishing for certain stocks of highly migratory fish,Verordnung (EG) Nr. 869/2004 des Rates vom 26. April 2004 zur Änderung der Verordnung (EG) Nr. 1936/2001 mit Kontrollmaßnahmen für die Befischung bestimmter Bestände weit wandernder Arten,en-de,Administrative Law,"control, regulation"
INCUBATE THE TRAYS FOR APPROXIMATELY 18 HOURS AT 28 TO 30 C .,Die Inkubation erfolgt während etwa 18 Stunden bei 28 bis 30 ºC.,en-de,Administrative Law,
"IF THE COMPOSITION OF THE UNDERTAKINGS INCLUDED IN A CONSOLIDATION HAS CHANGED SIGNIFICANTLY IN THE COURSE OF A FINANCIAL YEAR , THE CONSOLIDATED ACCOUNTS MUST INCLUDE INFORMATION WHICH MAKES THE COMPARISON OF SUCCESSIVE SETS OF CONSOLIDATED ACCOUNTS MEANINGFUL.","Hat sich die Zusammensetzung aller in die Konsolidierung einbezogenen Unternehmen im Laufe des Geschäftsjahres erheblich geändert, so sind in den konsolidierten Abschluß Angaben aufzunehmen, die es ermöglichen, die aufeinanderfolgenden konsolidierten Abschlüsse sinnvoll zu vergleichen.",en-de,Legal Theory & Latin Terms,information
"In addition, the labelling should give information about any characteristic or property which renders a food or feed different from its conventional counterpart with respect to composition, nutritional value or nutritional effects, intended use of the food or feed and health implications for certain sections of the population, as well as any characteristic or property which gives rise to ethical or religious concerns.","Darüber hinaus sollte die Kennzeichnung über alle Merkmale oder Eigenschaften Auskunft geben, die dazu führen, dass ein Lebensmittel oder Futtermittel sich von einem entsprechenden herkömmlichen Erzeugnis in Bezug auf die Zusammensetzung, den Nährwert oder auf nutritive Wirkungen, den Verwendungszweck, die gesundheitlichen Auswirkungen auf bestimmte Bevölkerungsgruppen sowie Merkmale oder Eigenschaften, die Anlass zu ethischen oder religiösen Bedenken geben, unterscheidet.",en-de,Property & Real Estate Law,"use, value, property, information, health, counterpart"
"Access to airside and security restricted areas via airport tenant offices, maintenance hangars, cargo facilities, other service and facility buildings shall be restricted to the minimum required.","Der Zugang zur Luftseite und zu Sicherheitsbereichen über Räume von Pächtern auf dem Flughafen, Wartungshangars, Frachteinrichtungen und andere Service- und Betriebsgebäude ist auf das unabdingbare Mindestmaß zu beschränken.",en-de,Property & Real Estate Law,"tenant, access, security, service"
"The Commission should accordingly be empowered to adopt implementing measures, provided that these do not modify the essential elements of this Directive and the Commission acts according to the principles set out in this Directive, after consulting the European Securities Committee established by Commission Decision 2001/528/EC(8).","Die Kommission sollte daher ermächtigt werden, nach Anhörung des durch den Beschluss 2001/528/EG der Kommission(8) eingesetzten Europäischen Wertpapierausschusses Durchführungsmaßnahmen zu erlassen, soweit durch diese Maßnahmen die wesentlichen Bestandteile dieser Richtlinie nicht geändert werden und die Kommission gemäß den Grundsätzen dieser Richtlinie handelt.",en-de,Tax & Financial Regulation,"securities, adopt, set, commission, decision"
"Dangerous, hazardous or toxic substances or preparations",Gefährliche oder giftige Stoffe oder Zubereitungen,en-de,Environmental Law,
"Inventories encompass goods purchased and held for resale including, for example, merchandise purchased by a retailer and held for resale, or land and other property held for resale.","Vorräte umfassen zum Weiterverkauf erworbene Waren, wie beispielsweise von einem Einzelhändler zum Weiterverkauf erworbene Handelswaren, oder Grundstücke und Gebäude, die zum Weiterverkauf gehalten werden.",en-de,Property & Real Estate Law,"resale, land, goods, property, held"
Other cheeses,Andere Käse,en-de,Administrative Law,
"In such a case, the institution of the pensioner's place of residence shall be considered to be the competent institution.",DER TRÄGER DES WOHNORTS DES RENTNERS GILT IN DIESEM FALL ALS DER ZUSTÄNDIGE TRÄGER.,en-de,Legal Theory & Latin Terms,"competent, case, residence"
"economic and technical conditions, financial guarantees and information required from economic operators;","alle wirtschaftlichen und technischen Anforderungen, finanziellen Garantien und Angaben, die von den Wirtschaftsteilnehmern verlangt werden;",en-de,Contract Law,information
"the conventional sign for ""12"" is to be added for Austria,","das Symbol ""12"" für Österreich wird hinzugefügt;",en-de,International Law,
"Whereas, moreover, the procedures foreseen by this Agreement are in conformity with those devised in the course of a very wide-ranging international negotiation conducted, in view of the provisions of paragraphs 1 and 4 of Article III of the Treaty on the non-proliferation of nuclear weapons, with the International Atomic Energy Agency, the result of which has been approved by the Board of Governors of that organization, and that these procedures are based on the most modern developments in the field of safeguards;","Die Bestimmungen dieses Übereinkommens entsprechen übrigens den Grundsätzen, die in ausgedehnten internationalen Verhandlungen, die über die Anwendung des Artikels III Abschnitte 1 und 4 des Vertrages über die Nichtverbreitung von Kernwaffen im Rahmen der Internationalen Atomenergie-Organisation geführt und deren Ergebnisse vom Gouverneursrat dieser Organisation gebilligt wurden, ausgearbeitet worden sind; sie gründen sich auf die modernsten Entwicklungen im Bereich der Sicherheitsüberwachung.",en-de,International Law,"treaty, article, negotiation, energy, agreement, agency"
Failure or malfunction of any part of an engine or powerplant resulting in any one or more of the following:,Ausfall oder Fehlfunktion eines Teils eines Triebwerks mit einer oder mehreren der nachstehenden Folgen:,en-de,Administrative Law,
THE AMOUNT OF ANY PROFIT OR LOSS ATTRIBUTABLE TO SHARES IN SUBSIDIARY UNDERTAKINGS INCLUDED IN THE CONSOLIDATION HELD BY PERSONS OTHER THAN THE UNDERTAKINGS INCLUDED IN THE CONSOLIDATION SHALL BE SHOWN IN THE CONSOLIDATED PROFIT-AND-LOSS ACCOUNT AS A SEPARATE ITEM WITH AN APPROPRIATE HEADING.,"Die Beträge aus dem Ergebnis von konsolidierten Tochterunternehmen, die den Aktien oder Anteilen entsprechen, welche sich im Besitz anderer Personen als den in die Konsolidierung einbezogenen Unternehmen befinden, werden in der konsolidierten Gewinn- und Verlustrechnung unter einem gesonderten Posten mit entsprechender Bezeichnung ausgewiesen.",en-de,Healthcare Law,"profit, subsidiary, loss, held, account"
Describe the likely impact of the proposed concentration on competition in the affected markets and how the proposed concentration is likely to affect the interests of intermediate and ultimate consumers and the development of technical and economic progress.,"Beschreiben Sie die zu erwartenden Auswirkungen des Zusammenschlussvorhabens auf den Wettbewerb in den betroffenen Märkten, auf die Zwischen- und Endverbraucher sowie auf die Entwicklung des technischen und wirtschaftlichen Fortschritts.",en-de,Administrative Law,
"data field composed by a service identifier byte (SID) and a variable number of data bytes, which can include an optional diagnostic session byte (DS_) or an optional transfer parameter byte (TRTP or TREP).","dem Datenfeld, bestehend aus einem Service-Identifier-Byte (SID) und einer variablen Anzahl von Datenbytes, z. B. ein optionales Diagnostic-Session-Byte (DS_) oder ein optionales Transfer-Parameter-Byte (TRTP oder TREP).",en-de,Legal Theory & Latin Terms,"transfer, service, session"
design for all requirements (including accessibility for disabled people);,Konzeption für alle Anforderungen (einschließlich des Zugangs von Behinderten);,en-de,Legal Theory & Latin Terms,people
"In cases where a husband and wife are both employed by the Foundation, each has the right in respect of himself or herself and in respect of dependants to the flat-rate payment of travelling expenses, in accordance with the above provisions;","Sind beide Ehegatten Bedienstete der Stiftung, so hat jeder nach der vorstehenden Regelung für sich und für die unterhaltsberechtigten Personen Anspruch auf eine Pauschalvergütung der Reisekosten;",en-de,Evidence Law,"right, foundation"
"include relevant information and studies, including, where available, independent and peer-reviewed studies, which demonstrate that the product complies with the requirements provided for in Articles 4(1) or 16(1) of Regulation (EC) No 1829/2003;","relevante Informationen und Untersuchungen umfassen, einschließlich - sofern vorhanden - unabhängiger und von einem Fachkollegium überprüfter Untersuchungen, anhand deren nachgewiesen wird, dass das Erzeugnis die in Artikel 4 Absatz 1 oder Artikel 16 Absatz 1 der Verordnung (EG) Nr. 1829/2003 genannten Anforderungen erfuellt;",en-de,Administrative Law,"regulation, information, peer, relevant"
This Regulation shall not preclude the prior application of any special provisions in air services agreements between Member States and countries not members of the European Community.,"Diese Verordnung steht der vorrangigen Anwendung spezieller Vorschriften von Luftverkehrsübereinkünften zwischen Mitgliedstaaten und Ländern, die nicht Mitglied der Europäischen Gemeinschaft sind, nicht entgegen.",en-de,Administrative Law,"member, regulation"
"not less than 8,5 % and not more than 20 % actual alcoholic strength by volume except certain quality wines psr having a high residual sugar content without having undergone any enrichment, for which the actual alcoholic strength may be less than 8,5 % but not less than 4,5 %;","vorhandener Alkoholgehalt von mindestens 8,5 und nicht mehr als 20 % vol, ausgenommen bei bestimmten Qualitätsweinen b. A., die ohne Anreicherung einen hohen Restzuckergehalt aufweisen: bei ihnen darf der vorhandene Alkoholgehalt weniger als 8,5, aber nicht weniger als 4,5 % vol betragen;",en-de,Administrative Law,
Turkey,Türkei,en-de,Administrative Law,
Mauzac,Mauzac,en-de,Administrative Law,
The pursuing officers must comply with the provisions of this Article and with the law of the Contracting Party in whose territory they are operating;,"Die nacheilenden Beamten sind an die Bestimmungen dieses Artikels und das Recht der Vertragspartei, auf deren Hoheitsgebiet sie auftreten, gebunden;",en-de,Contract Law,"law, party, article"
The only liabilities recognised in an enterprise's balance sheet are those that exist at the balance sheet date.,"In der Bilanz eines Unternehmens werden ausschließlich diejenigen Verpflichtungen angesetzt, die zum Bilanzstichtag bestehen.",en-de,Legal Theory & Latin Terms,
Article 14 is deleted;,16. Artikel 14 wird gestrichen.,en-de,Legal Theory & Latin Terms,article
"TSE cases found in resistant genotypes (sheep of genotypes which encode alanin on both alleles at codon 136, arginin on both alleles at codon 154 and arginin on both alleles at codon 171) shall immediately be reported to the Commission.","Bei resistenten Genotypen festgestellte TSE-Fälle (Schafe eines Genotyps, bei dem sich Alanin auf beiden Allelen des Codons 136, Arginin auf beiden Allelen des Codons 154 und Arginin auf beiden Allelen des Codons 171 finden) sind der Kommission unverzüglich zu melden.",en-de,Tax & Financial Regulation,commission
"If the official considers the conclusions of the medical examination arranged by the Appointing Authority to be unjustified on medical grounds, he or a doctor acting on his behalf may within two days submit to the institution a request that the matter be referred to an independent doctor for an opinion.","Ist der Beamte der Auffassung, dass die Ergebnisse der von der Anstellungsbehörde veranlassten ärztlichen Kontrolle aus medizinischen Gründen nicht gerechtfertigt sind, kann er oder ein in seinem Namen handelnder Arzt binnen zwei Arbeitstagen bei dem Organ beantragen, die Angelegenheit einem unabhängigen Arzt zur Stellungnahme vorzulegen.",en-de,Healthcare Law,"opinion, authority, examination, submit, official, request"
Broken grains or fragments,Gebrochene Körner oder Bruchreis,en-de,Administrative Law,
"In accordance with Regulation (EEC) No 2377/90, maximum residue limits must be established progressively for all pharmacologically active substances which are used within the Community in veterinary medicinal products intended for administration to food-producing animals.","Gemäß der Verordnung (EWG) Nr. 2377/90 sind schrittweise Hoechstmengen für Rückstände aller pharmakologisch wirksamen Stoffe festzusetzen, die in der Gemeinschaft in Tierarzneimitteln für zur Lebensmittelerzeugung genutzte Tiere verwendet werden.",en-de,Administrative Law,"residue, regulation"
occupational invalidity No concordance,Berufsunfähigkeit,en-de,Employment & Labor Law,
«lease» shall mean lease or similar types of temporary transactions;,"""Pacht"": Pacht oder ähnliche Arten von befristeten Geschäften.",en-de,Legal Theory & Latin Terms,lease
"Done at Brussels, 16 February 2004.","Brüssel, den 16. Februar 2004",en-de,Administrative Law,
The tax base of the asset is 60 (cost of 150 less cumulative tax depreciation of 90).,Der Steuerwert des Vermögenswertes beträgt 60 (Anschaffungskosten von 150 abzüglich der kumulierten steuerlichen Abschreibung von 90).,en-de,Tax & Financial Regulation,"tax, depreciation, asset"
collect information on fishing gear loss and waste disposal by fishing vessels at sea.,Sammlung von Angaben zu verloren gegangenem Fanggerät auf See und über Bord gegebenen Schiffsmüll.,en-de,Environmental Law,"waste, information, loss"
"When providing a bundle of services, air navigation service providers shall, in their internal accounting, identify the relevant costs and income for air navigation services, broken down in accordance with Eurocontrol's principles for establishing the cost-base for route facility charges and the calculation of unit rates and, where appropriate, shall keep consolidated accounts for other, non-air-navigation services, as they would be required to do if the services in question were provided by separate undertakings.","Erbringen Flugsicherungsorganisationen Dienstebündel, so weisen sie in ihren internen Konten die jeweiligen Kosten und Einnahmen für die Flugsicherungsdienste aus, und zwar untergliedert gemäß den Grundsätzen zur Festsetzung der Gebührenerhebungsgrundlage für Streckennavigationsdienste und zur Berechnung der Gebührensätze von Eurocontrol, und führen gegebenenfalls konsolidierte Konten für andere, nicht flugsicherungsbezogene Dienste, wie dies erforderlich wäre, wenn die betreffenden Dienste von verschiedenen Unternehmen erbracht würden.",en-de,Legal Theory & Latin Terms,"accounting, income, service, costs, relevant"
"""Should either Party terminate the Agreement between the European Community and Canada on trade in wines and spirit drinks, such termination shall also effect a simultaneous termination of the present Agreement.""","""Sollte eine der Vertragsparteien das Abkommen zwischen der Europäischen Gemeinschaft und Kanada über den Handel mit Wein und Spirituosen kündigen, so gilt dies als gleichzeitige Kündigung des vorliegenden Abkommens.""",en-de,Contract Law,"party, termination, agreement"
(Article 18 of the Financial Regulation),(Artikel 18 der Haushaltsordnung),en-de,Administrative Law,"article, regulation"
A sintered aeration cube G is suspended in the vessel C at the apex of the cone.,Im Gefäß C ist in der Spitze des konisch geformten Gefäßbodens eine Glasfilterfritte G zur Belüftung aufgehängt.,en-de,Administrative Law,
Conditions of use of imprest accounts,Bedingungen für die Inanspruchnahme von Zahlstellen,en-de,Contract Law,use
"Under IAS 20, accounting for government grants and disclosure of government assistance, an enterprise may choose to recognise both the intangible asset and the grant at fair value initially.","Gemäß IAS 20, Bilanzierung und Darstellung von Zuwendungen der öffentlichen Hand, kann sich ein Unternehmen dafür entscheiden, sowohl den immateriellen Vermögenswert als auch die Zuwendung zunächst mit dem beizulegenden Zeitwert anzusetzen.",en-de,Legal Theory & Latin Terms,"asset, accounting, grant, value, disclosure, government"
EUROPEAN ENFORCEMENT ORDER CERTIFICATE - JUDGMENT,BESTÄTIGUNG ALS EUROPÄISCHER VOLLSTRECKUNGSTITEL - ENTSCHEIDUNG,en-de,Civil Procedure & Litigation,"judgment, order"
"The Office shall notify the International Bureau where, at the end of a period of five years from the date of the international registration,","Das Amt unterrichtet das Internationale Büro, wenn bei Ablauf einer Frist von fünf Jahren ab dem Tag der internationalen Registrierung:",en-de,International Law,
"""retail"" means the handling and/or processing of food and its storage at the point of sale or delivery to the final consumer, and includes distribution terminals, catering operations, factory canteens, institutional catering, restaurants and other similar food service operations, shops, supermarket distribution centres and wholesale outlets;","""Einzelhandel"" die Handhabung und/oder Be- oder Verarbeitung von Lebensmitteln und ihre Lagerung am Ort des Verkaufs oder der Abgabe an den Endverbraucher; hierzu gehören Verladestellen, Verpflegungsvorgänge, Betriebskantinen, Großküchen, Restaurants und ähnliche Einrichtungen der Lebensmittelversorgung, Läden, Supermarkt-Vertriebszentren und Großhandelsverkaufsstellen;",en-de,Family Law & Estates/Trusts,"delivery, service, sale, distribution"
"for a differentiated rate of excise duty on heating oils used by manufacturing industries, provided that the differentiated rates are in accordance with the obligations laid down in this Directive;","gestaffelte Verbrauchsteuersätze auf Heizstoffe, die von Unternehmen des produzierenden Gewerbes verbraucht werden, unter der Voraussetzung, dass diese Sätze den Anforderungen dieser Richtlinie entsprechen;",en-de,Tax & Financial Regulation,"excise, duty"
RECOGNITION AS AN EXPENSE,ERFASSUNG ALS AUFWAND,en-de,Legal Theory & Latin Terms,expense
Aid towards the payment of insurance premiums,Beihilfen zur Zahlung von Versicherungsprämien,en-de,Property & Real Estate Law,insurance
"Having regard to Council Regulation No 79/65/EEC of 15 June 1965 setting up a network for the collection of accountancy data on the incomes and business operation of agricultural holdings in the European Economic Community(1), and in particular Articles 4(4), 5(5) and 6(2) thereof,","gestützt auf die Verordnung Nr. 79/65/EWG des Rates vom 15. Juni 1965 zur Bildung eines Informationsnetzes landwirtschaftlicher Buchführungen über die Einkommenslage und die betriebswirtschaftlichen Verhältnisse landwirtschaftlicher Betriebe in der EWG(1), insbesondere auf Artikel 4 Absatz 4, Artikel 5 Absatz 5 und Artikel 6 Absatz 2,",en-de,Administrative Law,"business, setting, regulation"
"SIC-6: costs of modifying existing software,","SIC-6, Kosten der Anpassung vorhandener Software.",en-de,Administrative Law,costs
Measures to be applied to fresh meat of animals of susceptible species originating in the surveillance zone and meat products produced from such meat,Maßnahmen für frisches Fleisch von aus der Überwachungszone stammenden Tieren empfänglicher Arten und daraus hergestellte Fleischerzeugnisse,en-de,Environmental Law,surveillance
"where the application of Article 6 is not expected to result in an increase in the quantities of mature fish at the end of the year of application of the TAC to a quantity equal to or greater than the quantity indicated in Article 5, the Council shall decide by a qualified majority, on a proposal from the Commission, on a TAC for the following year that is lower than the TAC resulting from the application of the method described in Article 6.","Ist bei Anwendung des Artikels 6 nicht damit zu rechnen, dass die Mengen geschlechtsreifer Fische am Endes des Jahres der Anwendung der TAC die in Artikel 5 genannten Werte erreichen oder übersteigen, so beschließt der Rat mit qualifizierter Mehrheit auf Vorschlag der Kommission für das folgende Jahr eine TAC, die unter der TAC liegt, die sich bei Anwendung der in Artikel 6 genannten Methode ergeben würde.",en-de,Tax & Financial Regulation,"majority, commission, article, decide"
Member States shall define the regions according to objective criteria.,Die Mitgliedstaaten legen die Regionen nach objektiven Kriterien fest.,en-de,Administrative Law,member
"in Article 4 the third paragraph shall be replaced by the following:""If the vacancy cannot be filled by transfer, appointment to a post in accordance with Article 45a or promotion, it shall be notified to the staff of the other institutions, and/or an internal competition shall be organised."";","6. Artikel 4 Absatz 3 erhält folgende Fassung:""Kann diese Planstelle nicht im Wege einer Versetzung, einer Ernennung auf eine Planstelle gemäß Artikel 45a oder einer Beförderung besetzt werden, so wird die freie Planstelle dem Personal der anderen Organe bekanntgegeben und/oder es wird ein internes Auswahlverfahren durchgeführt.""",en-de,Tax & Financial Regulation,"transfer, article, post"
"Having regard to Council Directive 91/67/EEC of 28 January 1991 concerning the animal health conditions governing the placing on the market of aquaculture animals and products(1), as last amended by Directive 98/45/EC(2), and in particular Article 5 thereof,","gestützt auf die Richtlinie 91/67/EWG des Rates vom 28. Januar 1991 betreffend die tierseuchenrechtlichen Vorschriften für die Vermarktung von Tieren und anderen Erzeugnissen der Aquakultur(1), zuletzt geändert durch die Richtlinie 98/45/EG(2), insbesondere auf Artikel 5,",en-de,Administrative Law,"health, article"
"Where no Member State responsible for examining the application for asylum can be designated on the basis of the criteria listed in this Regulation, the first Member State with which the application for asylum was lodged shall be responsible for examining it.","Lässt sich anhand der Kriterien dieser Verordnung nicht bestimmen, welchem Mitgliedstaat die Prüfung des Asylantrags obliegt, so ist der erste Mitgliedstaat, in dem der Asylantrag gestellt wurde, für dessen Prüfung zuständig.",en-de,Immigration & Naturalization Law,"asylum, regulation, listed, member, state, responsible"
