legal_term,category
prove,Legal Theory & Latin Terms
proving a will,Family Law & Estates/Trusts
provisional ballot,Legal Theory & Latin Terms
provisional patent application (PPA),Intellectual Property (IP)
provisional remedies,Legal Theory & Latin Terms
provisional remedy,Legal Theory & Latin Terms
proviso,Legal Theory & Latin Terms
provocation,Legal Theory & Latin Terms
proximate cause,Legal Theory & Latin Terms
proxy,Securities & Corporate Law
proxy statement,Securities & Corporate Law
prudence,Legal Theory & Latin Terms
prudent investor rule,Administrative Law
prudent person rule,Administrative Law
pseudonym name,Legal Theory & Latin Terms
PTO,Civil Procedure & Litigation
public,Intellectual Property (IP)
public administrator,Legal Theory & Latin Terms
public auction,Legal Theory & Latin Terms
public benefit corporation,Securities & Corporate Law
public benefits,Legal Theory & Latin Terms
public charge,Legal Theory & Latin Terms
public company,Legal Theory & Latin Terms
public corporation,Securities & Corporate Law
public corruption,Legal Theory & Latin Terms
public defender,Legal Theory & Latin Terms
public domain,Intellectual Property (IP)
public domain lands,Property & Real Estate Law
public easement,Property & Real Estate Law
public express trust,Family Law & Estates/Trusts
public figure,Legal Theory & Latin Terms
public float,Legal Theory & Latin Terms
public market,Legal Theory & Latin Terms
public necessity,Legal Theory & Latin Terms
public nuisance,Torts
public offering,Contract Law
public offering,Contract Law
public option,Legal Theory & Latin Terms
public policy,Legal Theory & Latin Terms
public property,Property & Real Estate Law
public record,Legal Theory & Latin Terms
public trust doctrine,Family Law & Estates/Trusts
public use,Legal Theory & Latin Terms
public utilities,Legal Theory & Latin Terms
public utility,Legal Theory & Latin Terms
publication,Legal Theory & Latin Terms
publicity,Torts
publicity or propaganda,Torts
publish,Legal Theory & Latin Terms
published work,Legal Theory & Latin Terms
puffery,Legal Theory & Latin Terms
puffing,Legal Theory & Latin Terms
punitive damages,Torts
pur autre vie,Legal Theory & Latin Terms
purchase money mortgage,Property & Real Estate Law
purchase money resulting trust,Family Law & Estates/Trusts
purchase-money collateral,Legal Theory & Latin Terms
purchase-money security interest,Tax & Financial Regulation
pure per stirpes,Legal Theory & Latin Terms
pure several liability,Contract Law
purposivism,Legal Theory & Latin Terms
put option,Legal Theory & Latin Terms
putative,Legal Theory & Latin Terms
putative spouse doctrine,Legal Theory & Latin Terms
pyramid scheme,Legal Theory & Latin Terms
Q.E.D.,Legal Theory & Latin Terms
QDOT,Legal Theory & Latin Terms
QDRO,Legal Theory & Latin Terms
QMCSO,Legal Theory & Latin Terms
QTIP trust,Intellectual Property (IP)
qua,Constitutional Law
qualified domestic relations order (QDRO),Legal Theory & Latin Terms
qualified domestic trust,Family Law & Estates/Trusts
qualified immunity,Legal Theory & Latin Terms
qualified individual with a disability,Legal Theory & Latin Terms
qualified indorsement (endorsement),Legal Theory & Latin Terms
qualified institutional buyer (QIB),Legal Theory & Latin Terms
qualified intermediary,Legal Theory & Latin Terms
qualified medical child support order (QMCSO),Family Law & Estates/Trusts
qualified ownership,Intellectual Property (IP)
qualified personal residence trust (QPRT),Family Law & Estates/Trusts
qualified plan,Legal Theory & Latin Terms
qualified retirement plan,Legal Theory & Latin Terms
qualified small business stock,Tax & Financial Regulation
qualified terminable interest property (QTIP) trust,Property & Real Estate Law
qualified witness,Criminal Law & Procedure
quantum meruit,Legal Theory & Latin Terms
quash,Legal Theory & Latin Terms
quasi,Legal Theory & Latin Terms
quasi contract (or quasi-contract),Contract Law
quasi in rem,Legal Theory & Latin Terms
quasi property rights of a human body,Property & Real Estate Law
quasi-community property,Property & Real Estate Law
quasi-corporation,Securities & Corporate Law
quasi-criminal (proceeding),Criminal Law & Procedure
quasi-judicial,Legal Theory & Latin Terms
quasi-legislative,Legal Theory & Latin Terms
quasi-municipal corporation,Intellectual Property (IP)
quasi-personalty,Legal Theory & Latin Terms
Queen's Bench,Legal Theory & Latin Terms
question of fact,Legal Theory & Latin Terms
question of law,Legal Theory & Latin Terms
qui tam,Legal Theory & Latin Terms
qui tam action,Legal Theory & Latin Terms
QUID,Employment & Labor Law
quid pro quo,Employment & Labor Law
quiet enjoyment,Legal Theory & Latin Terms
quiet title,Property & Real Estate Law
quiet title action,Property & Real Estate Law
quit,Property & Real Estate Law
quitclaim deed,Property & Real Estate Law
quo warranto,Securities & Corporate Law
quod erat demonstrandum,Legal Theory & Latin Terms
quorum,Legal Theory & Latin Terms
quotient verdict,Civil Procedure & Litigation
race statute,Legal Theory & Latin Terms
race to the bottom,Legal Theory & Latin Terms
race-notice statute,Immigration & Naturalization Law
racism,Legal Theory & Latin Terms
Racketeer Influenced and Corrupt Organizations Act (RICO),Legal Theory & Latin Terms
racketeering,Legal Theory & Latin Terms
raider,Legal Theory & Latin Terms
rainmaker,Legal Theory & Latin Terms
ransom,Legal Theory & Latin Terms
rape,Criminal Law & Procedure
ratable,Legal Theory & Latin Terms
ratification,Legal Theory & Latin Terms
ratify,Legal Theory & Latin Terms
ratio decidendi,Legal Theory & Latin Terms
rational basis test,Constitutional Law
read on,Legal Theory & Latin Terms
"ready, willing, and able",Family Law & Estates/Trusts
reaffirmation,Appellate & Supreme Court
real covenant,Contract Law
real estate,Property & Real Estate Law
real estate agent,Property & Real Estate Law
real estate broker,Property & Real Estate Law
real estate investment trust (REIT),Family Law & Estates/Trusts
real estate transactions,Property & Real Estate Law
real party in interest,Legal Theory & Latin Terms
real property,Property & Real Estate Law
realization of gain,Legal Theory & Latin Terms
realtor,Legal Theory & Latin Terms
realty,Legal Theory & Latin Terms
reasonable,Legal Theory & Latin Terms
reasonable accommodation,Legal Theory & Latin Terms
reasonable belief,Legal Theory & Latin Terms
reasonable care,Legal Theory & Latin Terms
reasonable doubt,Legal Theory & Latin Terms
reasonable investor,Legal Theory & Latin Terms
reasonable person,Legal Theory & Latin Terms
reasonable reliance,Legal Theory & Latin Terms
reasonable speed,Legal Theory & Latin Terms
reasonable suspicion,Legal Theory & Latin Terms
reasonable time,Legal Theory & Latin Terms
reasonable wear and tear,Legal Theory & Latin Terms
rebate,Legal Theory & Latin Terms
rebus sic stantibus,Legal Theory & Latin Terms
rebuttable presumption,Legal Theory & Latin Terms
rebuttal,Legal Theory & Latin Terms
rebuttal witness,Criminal Law & Procedure
recapture,Legal Theory & Latin Terms
receipt,Intellectual Property (IP)
receiver,Legal Theory & Latin Terms
receivership,Intellectual Property (IP)
receiving stolen property,Property & Real Estate Law
recess,Legal Theory & Latin Terms
recidivism,Legal Theory & Latin Terms
recidivist,Legal Theory & Latin Terms
reciprocal beneficiaries,Intellectual Property (IP)
reciprocal discovery,Civil Procedure & Litigation
reciprocity,Intellectual Property (IP)
reckless,Legal Theory & Latin Terms
reckless disregard,Legal Theory & Latin Terms
reckless driving,Legal Theory & Latin Terms
recognition (international law),International Law
reconciliation,Legal Theory & Latin Terms
reconveyance,Legal Theory & Latin Terms
record,Healthcare Law
record keeping,Legal Theory & Latin Terms
record owner,Legal Theory & Latin Terms
recording,Legal Theory & Latin Terms
recording act,Legal Theory & Latin Terms
recording acts,Legal Theory & Latin Terms
recording statute,Legal Theory & Latin Terms
records,Healthcare Law
recoupment,Legal Theory & Latin Terms
recourse,Legal Theory & Latin Terms
recover,Environmental Law
recoverable,Legal Theory & Latin Terms
recovery,Environmental Law
recreational land use and zoning,Property & Real Estate Law
recurring closing costs,Property & Real Estate Law
recusal,Legal Theory & Latin Terms
recuse,Legal Theory & Latin Terms
red herring,Legal Theory & Latin Terms
redaction,Legal Theory & Latin Terms
redeem,Legal Theory & Latin Terms
redemption,Legal Theory & Latin Terms
redirect examination,Civil Procedure & Litigation
redistricting,Legal Theory & Latin Terms
redlining,Legal Theory & Latin Terms
reentry,Legal Theory & Latin Terms
reexamination,Civil Procedure & Litigation
referee,Legal Theory & Latin Terms
referendum,Legal Theory & Latin Terms
reformation,Legal Theory & Latin Terms
refresh one's recollection,Legal Theory & Latin Terms
refugee,Immigration & Naturalization Law
Regents of the University of California v. Bakke (1978),Legal Theory & Latin Terms
register,Intellectual Property (IP)
register of deeds,Property & Real Estate Law
registered agent,Legal Theory & Latin Terms
registered transporter,Legal Theory & Latin Terms
registrant,Legal Theory & Latin Terms
registration statement,Legal Theory & Latin Terms
registry of deeds,Property & Real Estate Law
regulation,Administrative Law
Regulation Best Interest (Reg BI),Tax & Financial Regulation
Regulation D,Securities & Corporate Law
Regulation Fair Disclosure (FD),Tax & Financial Regulation
Regulation S-K,Tax & Financial Regulation
Regulation S-X,Tax & Financial Regulation
rehabilitation,Legal Theory & Latin Terms
Rehabilitation Act of 1973,Legal Theory & Latin Terms
rehearing,Administrative Law
reinstatement,Legal Theory & Latin Terms
REIT,Legal Theory & Latin Terms
rejoinder,Legal Theory & Latin Terms
relator,Legal Theory & Latin Terms
release,Property & Real Estate Law
release on one's own recognizance,Property & Real Estate Law
relevant,Legal Theory & Latin Terms
relevant evidence,Evidence Law
reliance,Legal Theory & Latin Terms
reliance damages,Contract Law
reliction,Legal Theory & Latin Terms
relief,Civil Procedure & Litigation
relinquished property,Property & Real Estate Law
remainder,Property & Real Estate Law
remainder (property law),Property & Real Estate Law
remainder (trust law),Property & Real Estate Law
remainder subject to a condition precedent,Contract Law
remainder subject to divestment,Property & Real Estate Law
remainder subject to open,Property & Real Estate Law
remainderman,Property & Real Estate Law
remand,Appellate & Supreme Court
remedy,Legal Theory & Latin Terms
remise,Legal Theory & Latin Terms
remittitur,Legal Theory & Latin Terms
removal,Immigration & Naturalization Law
removal warrant,Securities & Corporate Law
renewable electricity standard,Legal Theory & Latin Terms
renewal,Legal Theory & Latin Terms
rent,Legal Theory & Latin Terms
rent control,Legal Theory & Latin Terms
rent withholding,Legal Theory & Latin Terms
rental agreement,Contract Law
rental value,Legal Theory & Latin Terms
renunciation,Legal Theory & Latin Terms
reorganization,Bankruptcy Law
repair and deduct,Environmental Law
repeal,Legal Theory & Latin Terms
replacement property,Property & Real Estate Law
replacement value,Legal Theory & Latin Terms
replevin,Legal Theory & Latin Terms
reply brief,Legal Theory & Latin Terms
reporting company,Legal Theory & Latin Terms
reports,Legal Theory & Latin Terms
repossess,Legal Theory & Latin Terms
repossession,Legal Theory & Latin Terms
represent,Contract Law
representation,Contract Law
representative,Legal Theory & Latin Terms
representative payee,Legal Theory & Latin Terms
reprieve,Legal Theory & Latin Terms
repudiation,Contract Law
reputation,Legal Theory & Latin Terms
reputed,Legal Theory & Latin Terms
request,Legal Theory & Latin Terms
request for admission,Legal Theory & Latin Terms
request to admit,Legal Theory & Latin Terms
Requests for admission,Legal Theory & Latin Terms
required minimum distribution,Legal Theory & Latin Terms
requirements contract,Contract Law
res,Contract Law
res adjudicata,Legal Theory & Latin Terms
res gestae,Legal Theory & Latin Terms
res gestae witness,Criminal Law & Procedure
res ipsa loquitur,Intellectual Property (IP)
res judicata,Legal Theory & Latin Terms
res nova,Legal Theory & Latin Terms
resale,Legal Theory & Latin Terms
rescind,Legal Theory & Latin Terms
rescission,Contract Law
rescue doctrine,Legal Theory & Latin Terms
reservation,Legal Theory & Latin Terms
reserve fund,Legal Theory & Latin Terms
reserved power of appointment,Legal Theory & Latin Terms
residence,Legal Theory & Latin Terms
residency,Legal Theory & Latin Terms
resident,Legal Theory & Latin Terms
residuary beneficiary,Family Law & Estates/Trusts
residuary bequest,Legal Theory & Latin Terms
residuary estate,Family Law & Estates/Trusts
residue,Legal Theory & Latin Terms
resisting arrest,Criminal Law & Procedure
resolution,Legal Theory & Latin Terms
Resolution of Congress,Legal Theory & Latin Terms
Resource Conservation and Recovery Act (RCRA),Environmental Law
respondeat superior,Legal Theory & Latin Terms
respondent,Legal Theory & Latin Terms
response,Legal Theory & Latin Terms
responsible,Legal Theory & Latin Terms
responsive pleading,Criminal Law & Procedure
Restatement of the Law,Family Law & Estates/Trusts
restitution,Legal Theory & Latin Terms
restraining order,Civil Procedure & Litigation
restraint of trade,Legal Theory & Latin Terms
restraint on alienation,Contract Law
restriction,Property & Real Estate Law
restrictive covenant,Contract Law
restrictive endorsement,Legal Theory & Latin Terms
resulting trust,Family Law & Estates/Trusts
resume inflation,Legal Theory & Latin Terms
retail investors,Legal Theory & Latin Terms
retained earnings,Legal Theory & Latin Terms
retainer,Legal Theory & Latin Terms
retainer agreement,Contract Law
retaining lien,Contract Law
retaliation,Employment & Labor Law
"Retaliation ""Links to Articles/Legal References""",Employment & Labor Law
retaliatory eviction,Legal Theory & Latin Terms
retaliatory measures,Legal Theory & Latin Terms
retirement benefits,Legal Theory & Latin Terms
retraction,Legal Theory & Latin Terms
retrial,Civil Procedure & Litigation
retributivism,Legal Theory & Latin Terms
retroactive,Legal Theory & Latin Terms
return of service,Immigration & Naturalization Law
revenue agent,Civil Procedure & Litigation
revenue ruling,Civil Procedure & Litigation
reversal,Appellate & Supreme Court
reverse discrimination,Employment & Labor Law
reverse engineering,Legal Theory & Latin Terms
reverse merger,Securities & Corporate Law
reverse mortgage,Property & Real Estate Law
reversible error,Legal Theory & Latin Terms
reversion,Property & Real Estate Law
reverter,Legal Theory & Latin Terms
review,Appellate & Supreme Court
Revised Uniform Partnership Act of 1997 (RUPA),Intellectual Property (IP)
revival,Legal Theory & Latin Terms
revocable living trust,Family Law & Estates/Trusts
revocable trust,Family Law & Estates/Trusts
revocation,Contract Law
revocation of will by act,Contract Law
revocation of wills by instrument,Contract Law
revoke,Legal Theory & Latin Terms
revolving credit facility,Legal Theory & Latin Terms
rex non potest peccare,Legal Theory & Latin Terms
Reynolds v. Sims (1964),Legal Theory & Latin Terms
rhadamanthine,Employment & Labor Law
RICO,Legal Theory & Latin Terms
rider,Legal Theory & Latin Terms
rifle,Legal Theory & Latin Terms
right,Intellectual Property (IP)
right of disposition,Legal Theory & Latin Terms
right of entry,Legal Theory & Latin Terms
right of redemption,Legal Theory & Latin Terms
right of representation,Legal Theory & Latin Terms
right of survivorship,Intellectual Property (IP)
right of way,Property & Real Estate Law
right to assemble,Legal Theory & Latin Terms
right to cancel (a contract),Contract Law
right to confront witness,Criminal Law & Procedure
right to counsel,Criminal Law & Procedure
right to jury trial,Civil Procedure & Litigation
right to petition,Appellate & Supreme Court
right to privacy,Legal Theory & Latin Terms
right to sue letter,Legal Theory & Latin Terms
right to work state,Legal Theory & Latin Terms
rights,Constitutional Law
riot,Legal Theory & Latin Terms
riparian,Intellectual Property (IP)
riparian doctrine,Intellectual Property (IP)
riparian rights,Intellectual Property (IP)
ripe,Intellectual Property (IP)
risk,Legal Theory & Latin Terms
risk factors,Legal Theory & Latin Terms
risk of loss,Legal Theory & Latin Terms
roadshow,Legal Theory & Latin Terms
roadside test,Legal Theory & Latin Terms
robbery,Criminal Law & Procedure
Roe v. Wade (1973),Legal Theory & Latin Terms
rogatory letters,Legal Theory & Latin Terms
roll over,Legal Theory & Latin Terms
Roth v. United States (1957),Legal Theory & Latin Terms
rout,Legal Theory & Latin Terms
royalty,Legal Theory & Latin Terms
rule,Administrative Law
Rule 10b-5,Securities & Corporate Law
Rule 144A,Administrative Law
Rule 504,Administrative Law
Rule 506,Administrative Law
rule against perpetuities,Administrative Law
Rule in Shelley's Case,Administrative Law
rule of doubt,Administrative Law
rule of lenity,Administrative Law
rulemaking,Administrative Law
rules,Administrative Law
Rules Enabling Act of 1934,Administrative Law
rules of court,Civil Procedure & Litigation
ruling,Legal Theory & Latin Terms
running at large,Legal Theory & Latin Terms
running with the land,Property & Real Estate Law
S corporation,Securities & Corporate Law
safe harbor,Legal Theory & Latin Terms
sale,Tax & Financial Regulation
sales,Tax & Financial Regulation
sales tax,Tax & Financial Regulation
salvage,Legal Theory & Latin Terms
same-sex marriage,Family Law & Estates/Trusts
sample ballot,Legal Theory & Latin Terms
sanction,Legal Theory & Latin Terms
sanctity of contract,Contract Law
Sarbanes-Oxley Act,Legal Theory & Latin Terms
satisfaction,Legal Theory & Latin Terms
satisfaction of judgment,Civil Procedure & Litigation
satisfaction of mortgage,Property & Real Estate Law
save harmless,Legal Theory & Latin Terms
savings and loan,Legal Theory & Latin Terms
Schechter Poultry Corp. v. United States (1935),Legal Theory & Latin Terms
schedule,Legal Theory & Latin Terms
Schenck v. United States (1919),Legal Theory & Latin Terms
"School District of Abington Township, Pennsylvania v. Schempp (1963)",Intellectual Property (IP)
scienter,Legal Theory & Latin Terms
scintilla,Legal Theory & Latin Terms
scope of employment,Employment & Labor Law
screen scraping,Legal Theory & Latin Terms
scrivener,Legal Theory & Latin Terms
seal,Legal Theory & Latin Terms
sealed verdict,Civil Procedure & Litigation
sealing of records,Legal Theory & Latin Terms
search,Property & Real Estate Law
search and seizure,Legal Theory & Latin Terms
search warrant,Securities & Corporate Law
seasonable,Legal Theory & Latin Terms
seasoned issuer,Legal Theory & Latin Terms
Second Amendment,Constitutional Law
second degree murder,Criminal Law & Procedure
secondary authority,Intellectual Property (IP)
secondary boycott,Tax & Financial Regulation
secondary liability,Contract Law
secondary market,Tax & Financial Regulation
secondary meaning,Tax & Financial Regulation
secondary offering,Contract Law
secondary right of disposition,Tax & Financial Regulation
secret rebate,Tax & Financial Regulation
secret warranty program,Securities & Corporate Law
Section 11,Tax & Financial Regulation
Section 1244 Stock,Tax & Financial Regulation
Section 1981,Tax & Financial Regulation
Section 4 (1½),Tax & Financial Regulation
Section 4(a)(7),Tax & Financial Regulation
Section 5,Tax & Financial Regulation
Section 504,Tax & Financial Regulation
Section 8,Tax & Financial Regulation
secured debt,Tax & Financial Regulation
secured party,Tax & Financial Regulation
secured transaction,Tax & Financial Regulation
secured transactions,Tax & Financial Regulation
securities,Tax & Financial Regulation
Securities Act of 1933,Tax & Financial Regulation
Securities and Exchange Commission (SEC),Tax & Financial Regulation
Securities Dispute Resolution,Tax & Financial Regulation
Securities Dispute Resolution: Deciding Whether to File an Arbitration Claim,Tax & Financial Regulation
"Securities Dispute Resolution: Deliberation, Awards, and Fees",Tax & Financial Regulation
Securities Dispute Resolution: Discovery,Tax & Financial Regulation
Securities Dispute Resolution: Enforcing Awards,Tax & Financial Regulation
Securities Dispute Resolution: Experts,Tax & Financial Regulation
Securities Dispute Resolution: Filing a Complaint,Civil Procedure & Litigation
Securities Dispute Resolution: Hearings,Tax & Financial Regulation
Securities Dispute Resolution: Prehearing,Tax & Financial Regulation
Securities Dispute Resolution: Response,Tax & Financial Regulation
Securities Dispute Resolution: Selecting Arbitrators,Tax & Financial Regulation
Securities Exchange Act of 1934,Tax & Financial Regulation
securities fraud,Tax & Financial Regulation
securities law history,Tax & Financial Regulation
security,Tax & Financial Regulation
security deposit,Tax & Financial Regulation
security interest,Tax & Financial Regulation
sedition,Legal Theory & Latin Terms
seduction,Legal Theory & Latin Terms
see,Legal Theory & Latin Terms
see also,Legal Theory & Latin Terms
see generally,Legal Theory & Latin Terms
segregation,Legal Theory & Latin Terms
seised,Legal Theory & Latin Terms
seisin,Legal Theory & Latin Terms
seized,Legal Theory & Latin Terms
seizin,Legal Theory & Latin Terms
seizure,Legal Theory & Latin Terms
self determination (international law),International Law
self executing treaty,International Law
self regulatory organization,Administrative Law
self-authenticating documents,Legal Theory & Latin Terms
self-dealing,Legal Theory & Latin Terms
self-declared trust,Family Law & Estates/Trusts
self-defense,Legal Theory & Latin Terms
self-employed,Legal Theory & Latin Terms
self-employment tax,Tax & Financial Regulation
self-executing,Legal Theory & Latin Terms
self-help,Legal Theory & Latin Terms
self-incrimination,Criminal Law & Procedure
self-proving will,Family Law & Estates/Trusts
self-repealing clause,Legal Theory & Latin Terms
self-serving,Legal Theory & Latin Terms
self-settled trust,Family Law & Estates/Trusts
sell,Legal Theory & Latin Terms
seller,Legal Theory & Latin Terms
senior lien,Contract Law
sentence,Criminal Law & Procedure
sentencing,Criminal Law & Procedure
SEP,Family Law & Estates/Trusts
SEP-IRA,Tax & Financial Regulation
separate but equal,Environmental Law
separate property,Property & Real Estate Law
separate sovereigns doctrine,Environmental Law
separation,Family Law & Estates/Trusts
separation agreement,Family Law & Estates/Trusts
Separation of Church and State,Environmental Law
separation of powers,Administrative Law
sequester,Legal Theory & Latin Terms
sequestration,Legal Theory & Latin Terms
seriatim,Legal Theory & Latin Terms
serious health condition,Contract Law
servant,Legal Theory & Latin Terms
service,Immigration & Naturalization Law
service business,Immigration & Naturalization Law
service by fax,Immigration & Naturalization Law
service by mail,Immigration & Naturalization Law
service by publication,Immigration & Naturalization Law
service mark,Immigration & Naturalization Law
service of process,Immigration & Naturalization Law
servient estate,Family Law & Estates/Trusts
servient tenement,Legal Theory & Latin Terms
session,Property & Real Estate Law
session laws,Legal Theory & Latin Terms
set,Legal Theory & Latin Terms
set aside,Legal Theory & Latin Terms
setback,Legal Theory & Latin Terms
setoff,Legal Theory & Latin Terms
setting,Legal Theory & Latin Terms
settle,Legal Theory & Latin Terms
settlement,Legal Theory & Latin Terms
settler colonialism,Legal Theory & Latin Terms
settlor,Legal Theory & Latin Terms
severability clause,Legal Theory & Latin Terms
severable contract,Contract Law
several liability,Contract Law
severance,Legal Theory & Latin Terms
severance pay,Legal Theory & Latin Terms
sex offender,Legal Theory & Latin Terms
sex trafficking,Legal Theory & Latin Terms
sexual harassment,Employment & Labor Law
sexual slavery,Legal Theory & Latin Terms
shadow docket,Legal Theory & Latin Terms
shall,Legal Theory & Latin Terms
shall issue,Legal Theory & Latin Terms
sham transaction,Legal Theory & Latin Terms
share,Securities & Corporate Law
shared custody,Family Law & Estates/Trusts
shared equity mortgage,Property & Real Estate Law
shareholder,Securities & Corporate Law
shareholder derivative suit,Securities & Corporate Law
shareholder meeting,Securities & Corporate Law
shareholder's derivative action,Securities & Corporate Law
shareholders' agreement,Contract Law
sharp practice,Immigration & Naturalization Law
shelf offering,Contract Law
shelf registration,Legal Theory & Latin Terms
shell company,Legal Theory & Latin Terms
Shelley v. Kraemer (1948),Legal Theory & Latin Terms
Shelley's case,Legal Theory & Latin Terms
sheltered workshop,Legal Theory & Latin Terms
Shepard's citations,Environmental Law
Shepardize,Environmental Law
sheriff,Legal Theory & Latin Terms
sheriff's sale,Legal Theory & Latin Terms
Sherman Antitrust Act,Family Law & Estates/Trusts
"Sherman v. Sherman, 330 N.J. Super. 638 (Ch.Div. 1999)",Legal Theory & Latin Terms
shield laws,Legal Theory & Latin Terms
shifting executory interest,Family Law & Estates/Trusts
shifting the burden of proof,Legal Theory & Latin Terms
shipment contract,Contract Law
shocks the conscience,Legal Theory & Latin Terms
shoplifting,Legal Theory & Latin Terms
short cause,Legal Theory & Latin Terms
short sale,Legal Theory & Latin Terms
shortening time,Legal Theory & Latin Terms
shotgun charge,Legal Theory & Latin Terms
show cause order,Legal Theory & Latin Terms
showup,Legal Theory & Latin Terms
sick leave,Legal Theory & Latin Terms
sickness benefits,Legal Theory & Latin Terms
sidebar,Legal Theory & Latin Terms
sideline business,Legal Theory & Latin Terms
signal,Legal Theory & Latin Terms
signature guarantee,Legal Theory & Latin Terms
silent partner,Legal Theory & Latin Terms
similarly situated,Legal Theory & Latin Terms
simple trust,Family Law & Estates/Trusts
Simplified Employee Pension plan,Tax & Financial Regulation
Simplified Network Application Process Redesign (SNAP-R),Legal Theory & Latin Terms
simultaneous death act,Legal Theory & Latin Terms
sine qua non,Legal Theory & Latin Terms
single payer,Legal Theory & Latin Terms
single-entry accounting,Legal Theory & Latin Terms
situs,Legal Theory & Latin Terms
skip person,Intellectual Property (IP)
slander,Torts
SLAPP suit,Legal Theory & Latin Terms
Slaughterhouse Cases,Legal Theory & Latin Terms
slavery,Legal Theory & Latin Terms
slayer rule,Administrative Law
slip laws,Intellectual Property (IP)
small claims court,Civil Procedure & Litigation
small entity,Legal Theory & Latin Terms
small estate,Family Law & Estates/Trusts
smaller reporting company,Legal Theory & Latin Terms
smart grid,Legal Theory & Latin Terms
smoking gun,Legal Theory & Latin Terms
so ordered,Legal Theory & Latin Terms
Social Security,Tax & Financial Regulation
Social Security Administration,Tax & Financial Regulation
Social Security Disability Insurance (SSDI),Tax & Financial Regulation
Social Security Number (SSN),Tax & Financial Regulation
Social Security statement,Tax & Financial Regulation
Social Security tax,Tax & Financial Regulation
sodomy,Legal Theory & Latin Terms
sole custody,Family Law & Estates/Trusts
sole proprietor,Legal Theory & Latin Terms
sole proprietorship,Intellectual Property (IP)
solemnization of marriage,Family Law & Estates/Trusts
solicitation,Legal Theory & Latin Terms
solicitor,Legal Theory & Latin Terms
solicitor general,Legal Theory & Latin Terms
solitary confinement,Legal Theory & Latin Terms
solvency,Bankruptcy Law
sound mind and memory,Legal Theory & Latin Terms
sound recording,Legal Theory & Latin Terms
sounds in,Legal Theory & Latin Terms
sources of international law,International Law
South African Truth Commission,Legal Theory & Latin Terms
Southern Life & Health Ins. Co. v. Morgan,Healthcare Law
sovereign immunity,Constitutional Law
sovereignty,International Law
spam,Legal Theory & Latin Terms
speaking demurrer,Legal Theory & Latin Terms
speaking objection,Legal Theory & Latin Terms
spear phishing,Legal Theory & Latin Terms
special administrator,Legal Theory & Latin Terms
special appearance,Legal Theory & Latin Terms
special circumstances,Legal Theory & Latin Terms
special damages,Contract Law
special education,Legal Theory & Latin Terms
special election,Legal Theory & Latin Terms
special immigrant,Immigration & Naturalization Law
special master,Legal Theory & Latin Terms
special needs,Legal Theory & Latin Terms
special needs trust,Family Law & Estates/Trusts
special power of appointment,Legal Theory & Latin Terms
special power of attorney,Legal Theory & Latin Terms
special prosecutor,Tax & Financial Regulation
Special Purpose Acquisition Company (SPAC),Securities & Corporate Law
special verdict,Civil Procedure & Litigation
Specially Designated Nationals and Blocked Persons List,Legal Theory & Latin Terms
specials,Legal Theory & Latin Terms
specific bequest,Legal Theory & Latin Terms
specific denial,Legal Theory & Latin Terms
specific devise,Legal Theory & Latin Terms
specific finding,Legal Theory & Latin Terms
specific intent,Legal Theory & Latin Terms
specific jurisdiction,Civil Procedure & Litigation
specific legacy,Legal Theory & Latin Terms
specific performance,Contract Law
specific tax,Tax & Financial Regulation
specification,Legal Theory & Latin Terms
speculative damages,Contract Law
speedy trial,Civil Procedure & Litigation
Speedy Trial Act (1974),Civil Procedure & Litigation
spend down,Legal Theory & Latin Terms
spending power,Legal Theory & Latin Terms
spendthrift clause,Legal Theory & Latin Terms
spendthrift trust,Family Law & Estates/Trusts
spite fence,Legal Theory & Latin Terms
split custody,Family Law & Estates/Trusts
sponsor,Legal Theory & Latin Terms
sponsorship disclosure,Intellectual Property (IP)
spontaneous exclamation,Legal Theory & Latin Terms
sports law,Legal Theory & Latin Terms
spot month,Legal Theory & Latin Terms
spot zoning,Property & Real Estate Law
spousal communications privilege,Family Law & Estates/Trusts
spousal immunity,Family Law & Estates/Trusts
spousal privilege,Evidence Law
spousal share,Family Law & Estates/Trusts
spousal support,Family Law & Estates/Trusts
springing durable power of attorney,Legal Theory & Latin Terms
springing executory interest,Family Law & Estates/Trusts
springing interest,Legal Theory & Latin Terms
sprinkling trust,Family Law & Estates/Trusts
squeeze-out,Legal Theory & Latin Terms
SSA,Constitutional Law
SSDI,Legal Theory & Latin Terms
SSI,Contract Law
stakeholder,Legal Theory & Latin Terms
stand your ground,Legal Theory & Latin Terms
Standard and Poor’s 500 (S&P 500),Legal Theory & Latin Terms
standard contract,Contract Law
standard mileage rate,Legal Theory & Latin Terms
standard of care,Healthcare Law
standard of review,Administrative Law
Standard Oil Co. of New Jersey v. United States (1911),Legal Theory & Latin Terms
standard player contract (SPC),Contract Law
standing,Legal Theory & Latin Terms
Star Athletica v. Varsity Brands (2017),Legal Theory & Latin Terms
star chamber proceedings,Legal Theory & Latin Terms
stare decisis,Legal Theory & Latin Terms
Starker exchange,Legal Theory & Latin Terms
Starting a new article,Legal Theory & Latin Terms
state,Family Law & Estates/Trusts
state action,Legal Theory & Latin Terms
state action antitrust immunity,Family Law & Estates/Trusts
state action requirement,Legal Theory & Latin Terms
state court,Civil Procedure & Litigation
state of emergency,Legal Theory & Latin Terms
state supreme court,Appellate & Supreme Court
