legal_term,legal_category,defination,root_word
spear phishing,Legal Theory & Latin Terms,"Spear phishing refers to the practice of targeting a specific individual, group, or organization with a tailored fraudulent email for the purpose of gaining access to sensitive personal or professional information. Spear phishing is unique from phishing due to the highly personalized nature of the targeting entailed.",spear phishing
special administrator,Legal Theory & Latin Terms,"A special administrator is someone appointed by a court to fill the role of a normal administrator , usually until a more permanent administrator can be appointed. A special administrator may be appointed when someone needs to manage the assets and affairs immediately when the present administrator can no longer serve or the parties disagree over a long-term administrator. Often, the special administrator will have limited authority regarding distributing assets, and they will mainly be appointed to pay bills, taxes, and make any time sensitive decisions. A special administrator may also refer to an administrator appointed only for a specific part of the estate like art, which needs to be sold or allocated differently than other parts of the estate.",special administrator
special appearance,Legal Theory & Latin Terms,"Special appearance is a tool defendants can use to challenge a court’s jurisdiction over them. If a court does not have personal jurisdiction or there are other errors like for service of process , many states allow defendants to challenge the lawsuit without submitting to a court’s jurisdiction. Normally, if the citizen were to make a general appearance , the jurisdiction issue would be waived. For federal courts and some states, a defendant does not have to make a special appearance, but they are required to challenge the given error before addressing the actual claim itself as one would in a general appearance. Special appearance may also refer to other unique appearances by an attorney or individual such as an attorney appearing before being assigned to the case.",special appearance
special circumstances,Legal Theory & Latin Terms,Some common uses of the term “special circumstances” in a legal sense include:,special circumstance
special damages,Contract Law,"Special damages as a legal term has more than one meaning depending on the area of law and/or jurisdiction . In tort law, special damages are damages like car dents or medical expenses that can actually be ascertained, and they are contrasted with general damages , which refer to damages for things like intentional infliction of emotional distress which do not have a set monetary cost.",special damage
special education,Legal Theory & Latin Terms,"Special education refers to the individualized educational program (IEP) designed to meet the special needs of a child (up to 21 years of age in this context) with a disability, to help them learn and succeed.  Disabilities might include physical, mental, behavioral, emotional, or learning difficulties. The Individuals with Disabilities Education Act (IDEA) requires that all public schools provide children with disabilities this individualized special education. Further, while private schools are not required to design an IEP, they must still adhere to Section 504 of the Rehabilitation Act of 1973 and thus must still make reasonable accommodations for a child’s disability.",special education
special election,Legal Theory & Latin Terms,"A special election is an election that occurs between general elections and is scheduled at an irregular time to address specific issues or fill vacancies in public elected offices. Special elections are often held to replace officials who have resigned, died, or been removed from office. They are also used to vote on urgent matters such as for a legislature to place a referendum before the public , for recalls, or for specific legislative proposals.",special election
special immigrant,Immigration & Naturalization Law,"Special immigrants are non-citizens from certain groups, including U.S. government or international organization’s employees and their families, religious workers, and some juveniles, who can apply for permanent workers’ visas under USCIS special immigrant programs . Once approved, they may work and live in the U.S. permanently with green cards . See: 8 U.S.C. § 1101(a)(27) . The special immigrant programs are:",special immigrant
special master,Legal Theory & Latin Terms,"A special master is an individual appointed by a court to carry out specific actions on its behalf. Traditionally, a special master is distinguished from a master . A master’s function is primarily investigative, involving the compilation of evidence or documents to inform some future action by the court. In contrast, a special master carries out direct actions on behalf of the court. However, in practice , the term special master is often used for individuals performing purely investigative work, and the use of the simple master designation has become less common.",special master
special needs,Legal Theory & Latin Terms,"Special needs are the individualized care that a person with a disability - whether physical, mental, behavioral, emotional, or learning difficulties - requires to ensure their safety, access to public amenities, or ability to succeed in certain contexts. This individualized care might include accommodations or services, and persons with special needs are guaranteed this care in certain contexts.",special need
special needs trust,Family Law & Estates/Trusts,"Special needs trust is a legal trust created to provide funds to recipients of Supplemental Security Income (SSI) or Medicare without counting towards the income caps for either welfare program. Income from the trust avoids counting towards income caps as long as the funds are managed completely by the trustee and not spent on specific categories of expenses that will trigger SSI or Medicare caps. The funds can be used for a variety of expenses like for medicine, transportation, or other needs as long as they do not go towards housing or food. A lot of people use special needs trusts to help disabled individuals because it avoids spending limits, allows them to control where the funds are spent, and are untouchable by the creditors of the beneficiary.",special need trust
special power of appointment,Legal Theory & Latin Terms,"A special power of appointment is a legal authority granted to a person (the donee ) under a trust or will , allowing them to designate who will receive certain property or assets , subject to specific limitations. The objects of the power in a special power of appointment cannot be the donee themself, their estate , their creditors or the creditors of their estate. For example, if the donee had the power to select only amongst the decedent ’s children, that is a special power of appointment.",special power of appointment
special power of attorney,Legal Theory & Latin Terms,"Special power of attorney refers to a person delegating specified powers to an attorney to act on their behalf. Unlike general power of attorney which gives wide-ranging decision power, special power of attorney limits the area of decision making or the specific decisions possible. For example, special power of attorney could be granted just for medical decisions or just to sell a specific house. In order to enact special power of attorney, a person must sign a special power of attorney form which will specify in detail the powers given to the attorney and contain details from both parties like the attorney’s certification.",special power of attorney
special prosecutor,Tax & Financial Regulation,"A special prosecutor is a prosecutor who is independent of an office that would normally exercise jurisdiction in a criminal investigation—to avoid potential conflicts of interest or to facilitate subject matter area expertise. At the federal level, under 28 CFR § 600.1 , a special prosecutor is referred to as a “special counsel,” and may be appointed by the attorney general to criminally investigate an individual or matter in cases where a Justice Department investigation would present a conflict of interest , or in other “extraordinary circumstances.” Under Supreme Court precedent in Morrison v. Olson , Congress may also appoint a special counsel through the passage of legislation . Notable special counsels in U.S. history include Ken Starr of the Clinton Whitewater investigation and Lawrence Walsh of the Iran-Contra Affair .",special prosecutor
Special Purpose Acquisition Company (SPAC),Securities & Corporate Law,"A Special Purpose Acquisition Company (SPAC) is a publicly traded shell company, most often incorporated in the state of Delaware, that enables taking a private company public through a reverse merger . The SPAC is established by a sponsor who raises money through an initial public offering (IPO). IPO units are typically sold for $10 each and include a share of stock and a fraction of a warrant (or, in some cases, a warrant to purchase part of a share). The funds raised are placed in a trust account to benefit public stockholders , who have the right to redeem their shares after a merger target is identified. This redemption feature provides IPO investors with a fixed return.",special purpose acquisition company (spac)
special verdict,Civil Procedure & Litigation,"A special verdict is a verdict in which the jury gives its findings on particular factual issues, without necessarily stating a general conclusion on which party should win the whole case.",special verdict
Specially Designated Nationals and Blocked Persons List,Legal Theory & Latin Terms,"The Specially Designated Nationals and Blocked Persons List (SDN List) is a compilation maintained by the U.S. Department of the Treasury’s Office of Foreign Assets Control (OFAC). It includes individuals, entities , and organizations with whom U.S. persons are generally prohibited from doing business with. The primary purpose of the SDN List is to combat threats to national security and foreign policy objectives by isolating and financially constraining the listed parties . The designations prevent these individuals and entities from accessing the U.S. financial system and conducting business with U.S. persons.",specially designated national and blocked person list
specials,Legal Theory & Latin Terms,See: special damages,special
specific bequest,Legal Theory & Latin Terms,"Specific bequest refers to any specific property given to individuals in a will . The key to this phrase is that the property is unmistakable and the intended recipient is also without question. For example, John bequeathed his house at 123 Property Street to his daughter Lela. Problems arise during probate when a will contains gifts that are not specifically bequeathed because either the asset is uncertain or the intended recipient is questionable. For example, John in his will bequests his house to his daughter; this language could be a problem if John has multiple houses and multiple daughters.",specific bequest
specific denial,Legal Theory & Latin Terms,"Specific denial is the defendant 's denial of specific material facts asserted in the plaintiff 's complaint; in other words, a denial of parts of an allegation in a complaint . Specific denial is a circumstance in which the defendant does not deny all of the claims , or denies all but the ones that have been accepted. The opposite concept is the general denial .",specific denial
specific devise,Legal Theory & Latin Terms,"A specific devise is a specific piece of property given to a specific person in a will . If the specified property is not part of the estate at the time of the testator ’s death, the specific devise may fail, which is a concept known as ademption . It is often contrasted with a general devise .",specific devise
specific finding,Legal Theory & Latin Terms,"A specific finding is a decision made by the jurors on a factful position in a jury trial . It is a decision on a fact made by a jury in its verdict at the judge’s request. Often the judge directs questions at the jury to be answered as a part of its deliberations. These questions are meant to guide the jury through the facts of a case to help the jurors focus on the issue . Specific findings are the answers returned by the jury which are then used to resolve the case. For example, the jury may be asked to answer a specific question, “Was the defendant negligent ?” The jury’s specific finding may be –“yes, the defendant was negligent.”",specific finding
specific intent,Legal Theory & Latin Terms,"Specific intent is a legal term referring to the actual intent to perform some act along with a desire for the consequences that result from that act. It implies that an individual not only intended to perform the act but also aimed to achieve a particular outcome or consequence through that act. In criminal law , specific intent crimes require proof that the defendant had a particular intention or goal when committing the offense . Examples of specific intent crimes include first-degree murder , where the intent is to cause the death of another person .",specific intent
specific jurisdiction,Civil Procedure & Litigation,Specific jurisdiction is a form of minimum contacts that enables a court to exercise personal jurisdiction over a corporate defendant in that state without violating due process because of the extent of the defendants’ activities within that state. Compare: general jurisdiction .,specific jurisdiction
specific legacy,Legal Theory & Latin Terms,"Specific legacy is a gift made in a will of a specific item to an individual. Specific legacies are to be contrasted with general legacies that may not specify the object or the beneficiary . Courts will only acknowledge a specific legacy if the testator’s intentions were clear. For example, Donna bequests her grandmother’s ruby ring to her daughter Stephanie. A court would have no problem specifying the ring or the intended beneficiary. Usually, specific legacy refers to items and interests other than real estate, but sometimes specific legacy refers to a gift of real estate called a devise .",specific legacy
specific performance,Contract Law,"Specific performance is a contractual remedy in which a court orders a party to fulfill their obligations as closely as possible to what was promised in the contract , rather than simply paying damages for failing to do so. This remedy is often applied when monetary damages are inadequate to fix the harm caused by the breach ; most commonly in cases involving real property and rare chattels . Specific performance ensures that the aggrieved party receives exactly what was agreed upon in the contract, often in situations where the subject matter is unique or irreplaceable.",specific performance
specific tax,Tax & Financial Regulation,"A specific tax, also known as a per-unit tax , is a fixed amount of tax imposed on each unit of a good or service sold, regardless of its price or value. It is levied as a fixed sum on each article or item of property without regard to its value. Specific taxes are determined by the head or number, or by some standard of weight or measurement, and require no assessment other than a listing or classification of the subjects to be taxed. This type of tax contrasts with an ad valorem tax , which is based on the value or price of the good or service.",specific tax
specification,Legal Theory & Latin Terms,Specification in a legal context means:,specification
speculative damages,Contract Law,"Possible financial loss or expenses claimed by a plaintiff that are contingent upon a future occurrence, purely conjectural, or highly improbable, are known as speculative damages. Courts generally do not award these damages. For example, in Chicago Coliseum Club v. Dempsey , the Appellate Court of Illinois denied plaintiff’s sought damages because they were too speculative. In that case, the Chicago Coliseum Club contracted with Jack Dempsey to fight a boxing match around six months later. A few months after signing the contract, Dempsey informed the Club that he intended to breach his contract and would not fight the planned boxing match. The Club sued and sought, among other damages, lost profits from possible ticket sales from the match. The Court ruled that the Club could not recover lost profits from future ticket sales because there was no way to ascertain what the attendance may have been had the fight occurred.",speculative damage
speedy trial,Civil Procedure & Litigation,"The right to a speedy trial is enshrined in the Sixth Amendment of the United States Constitution . The precise contours of this constitutional right were interpreted by the U.S. Supreme Court in Barker v. Wingo , 407 U.S. 514 (1972), where the Court determined that there was no “inflexible rule” regarding its abridgment. The Court specifically identified four factors undergirding its evaluation: the length of the delay, the reason for the delay, the defendant’s assertion of the right, and the prejudice to the defendant.",speedy trial
Speedy Trial Act (1974),Civil Procedure & Litigation,"The Speedy Trial Act of 1974 , codified at 18 U.S.C. § 3161 et seq., is a United States federal law that establishes time limits for completing various stages of a federal criminal prosecution . Its main purpose is to ensure that defendants are not held indefinitely without trial and to prevent undue delay in the administration of justice .",speedy trial act (1974)
spend down,Legal Theory & Latin Terms,Spend down is a process that allows individuals whose income or resources exceed Medicaid eligibility limits to qualify by reducing the amount counted against them. It ensures that applicants’ significant medical expenses are considered when determining eligibility.,spend down
spending power,Legal Theory & Latin Terms,"Spending power is the ability of a government to tax and spend . Under Article I, Section 8, Clause 1 of the Constitution , Congress is granted the power to lay and collect taxes in order “ to pay the debts and provide for the common defense and general welfare of the United States. ” This is also referred to as the "" Taxing and Spending Clause .""",spending power
spendthrift clause,Legal Theory & Latin Terms,"A spendthrift clause refers to a clause creating a spendthrift trust which limits the ability of assets to be reached by the beneficiary or their creditors . A spendthrift trust usually requires the trustee to only give a certain amount of income to the beneficiary, and often spendthrift trusts do so to prevent a financially unstable beneficiary from mismanaging the funds. Beneficiaries and their creditors cannot usually place liens or other judgments on the assets of the trust themselves, but a creditor may get a garnishment against the payments to the beneficiary. Not every state recognizes spendthrift trusts, and the ones that do differ on allowing exceptions that allow creditors to gain trust assets in certain situations.",spendthrift clause
spendthrift trust,Family Law & Estates/Trusts,"A spendthrift trust is a type of trust designed to restrict the beneficiary ’s ability to access or control the trust’s principal or income . The beneficiary is unable to sell or give away their equitable interest in the trust property , and the trustee manages the property. This structure ensures that the trust assets are protected from being squandered by the beneficiary, as well as from creditors or legal judgments . As a result, the beneficiary does not have any control over the property , and creditors cannot reach those assets.",spendthrift trust
spite fence,Legal Theory & Latin Terms,"A spite fence is a fence (whether a division fence or otherwise) built maliciously, with the sole purpose or intent of annoying, injuring, or spiting an adjoining owner (commonly a neighbor). For example, a spite fence might block the neighbor's view or obstruct the passage and enjoyment of light or air.",spite fence
split custody,Family Law & Estates/Trusts,"Split custody is a custody arrangement that involves multiple children and awards sole custody divided between the two parents. In some cases, the children live permanently with one parent. In others, the children rotate living with each parent in equal amounts. Split custody is generally disfavored by judges because it's generally not considered beneficial to split up siblings. As such, split custody is the least common type.",split custody
sponsor,Legal Theory & Latin Terms,"A sponsor is a person or entity that takes responsibility for supporting another person, proposal, or venture.",sponsor
sponsorship disclosure,Intellectual Property (IP),"Sponsorship disclosure is a legal requirement that applies to radio, television, and social media, requiring clear identification of sponsored content and its source. In the United States, sponsored material includes any broadcast or post made in exchange for money, services, or other valuable consideration. Political content is also covered (even if no payment is made) to prevent hidden influence over public opinion. See: 47 CFR § 73.1212 - Sponsorship identification; list retention; related requirements .",sponsorship disclosure
spontaneous exclamation,Legal Theory & Latin Terms,"Also called an excited utterance , a spontaneous exclamation is a statement made in the midst of a startling event, with no opportunity for premeditation or deliberation . Spontaneous exclamations are significant in evidence because they are one of several exceptions to the hearsay rule , which generally prohibits out of court statements from being admitted, as they cannot be verified during trial. However, admission (as evidence during a trial) of spontaneous exclamations are justified on the grounds that they are made under circumstances that negate the possibility for the speaker to deliberate, and potentially fabricate, the statement.",spontaneous exclamation
sports law,Legal Theory & Latin Terms,"Sports law encompasses a multitude of legal areas brought together in unique ways, such as antitrust , contracts , and torts .",sport law
spot month,Legal Theory & Latin Terms,A spot month refers to the nearest delivery month for a futures contract . It is the month in which a futures contract matures and delivery is to be made if the contract is not closed out or rolled over to another month.,spot month
spot zoning,Property & Real Estate Law,"Spot zoning refers to when a piece of property or groups of property have special zoning laws applied to them that differ from the zoning laws surrounding them. The practice of spot zoning can be very controversial and may be illegal. Some types of spot zoning actually can be necessary, such as granting waivers for existing businesses when new zoning laws come into force or when a business might be needed in a residential area. However, spot zoning also can involve corruption where an individual receives special treatment that may harm surrounding areas or impede competition. For example, a large supermarket could persuade a local government to rezone a plot in a residential only neighborhood for building a new store, and this would reduce the value of the homes near the supermarket, increase noise, and allow the supermarket a virtual monopoly in the neighborhood.",spot zoning
spousal communications privilege,Family Law & Estates/Trusts,Spousal communications privilege is a legal doctrine that protects the confidentiality of communications between spouses. This privilege ensures that one spouse cannot be compelled to testify against the other regarding private communications made during the marriage . This privilege may only be waived with the consent of both spouses.,spousal communication privilege
spousal immunity,Family Law & Estates/Trusts,Spousal immunity prohibits a prosecutor from forcing a defendant’s spouse to testify against them. This immunity is safeguarded by the Federal Rules of Evidence .,spousal immunity
spousal privilege,Evidence Law,"Spousal privilege, also known as marital privilege and husband-wife privilege, includes two types of privileges: the spousal communications privilege and the spousal testimonial privilege.",spousal privilege
spousal share,Family Law & Estates/Trusts,"Spousal share (also called forced, elective, or statutory share) refers to the amount state laws entitle a spouse to after their spouse passes regardless of what is in a will . Spousal shares prevent spouses from changing the amount through a will as with intestacy laws . Instead, a person can either take what is in the spouse’s will or what the state spousal share laws would give. States differ on how much spousal statutory shares should be. The traditional share was one-third, but some states have specific dollar amounts, different percentages, or base the amount on length of marriage and amount of kids the couple had together.",spousal share
spousal support,Family Law & Estates/Trusts,"Spousal support, also known as alimony , is a legal obligation on a person to provide financial support to their spouse before or after marital separation or divorce . The purpose of spousal support is to limit any unfair economic effects of a divorce by providing a continuing income to a non-wage-earning or lower-wage-earning spouse.",spousal support
springing durable power of attorney,Legal Theory & Latin Terms,"Springing durable power of attorney is a type of power of attorney that lasts when the principal is incapacitated and does not take effect immediately. Durable power of attorney allows the powers of the attorney to continue when the principal no longer has the judgment to make decisions for themselves, unlike others where incapacitation would end the power of attorney. A  power of attorney is springing when it takes place at some time in the future after signing. Springing durable power of attorney combines both of these elements where someone wants the power of attorney to take effect at a specific time or after the principal becomes incapacitated. Simultaneously, the document creating the power of attorney ensures that once the power springs into effect it will remain so when the person is incapacitated.",springing durable power of attorney
springing executory interest,Family Law & Estates/Trusts,Springing executory interest is a future interest in a third-party transferee that divests the grantor ’s interests at a future time. It transfers the rights in property from a grantor to the third-party transferee when a specific event occurs. It is often used to ensure that the property is used for a specific purpose or that the third-party transferee only has the ownership when the conditions that the grantor intends to happen are met. There is a gap between the point when the original transferee loses their rights and the point when the third-party transferee obtains the rights. Consider the following example.,springing executory interest
springing interest,Legal Theory & Latin Terms,"Springing interest is an interest in property where the person owns the property after something occurs or at a specified time. Springing interests often appear in wills and estates where a person inherits property only after something occurs. For example, Monica could will her apartment to Chandler for life and then to Rachel. Rachel would have a springing interest because she will own the property only after Chandler passes. Compare with springing executory interest .",springing interest
sprinkling trust,Family Law & Estates/Trusts,"As sprinkling trust is a trust where the trustee is allowed to disperse funds according to the needs of the beneficiaries . Unlike many trusts where the trustee must follow strict instructions from the creator of the trust, sprinkling trusts allow almost unlimited flexibility for the trustee to give funds to the beneficiaries as needed, sometimes only to one beneficiary. Often, sprinkling trusts appear in the form of family pot trusts created for children, allowing the trustee to give the children differentiated amounts of money for things like college and medical bills. Sprinkling trusts have great advantages for flexibly allocating trust assets, but they come with the disadvantage of possibly allowing a trustee to manage the trust against the interests of the trust creator.",sprinkling trust
squeeze-out,Legal Theory & Latin Terms,"Squeeze-outs, more commonly called freeze-outs , are the forced sale of stock owned by minority shareholders in a joint-stock company, usually in the context of an acquisition .",squeeze-out
SSA,Constitutional Law,See: Social Security Administration,ssa
SSDI,Legal Theory & Latin Terms,"Social Security Disability Insurance (called SSD or SSDI) is a benefit system that distributes monthly income to individuals who are disabled and have paid a certain level of Social Security taxes . In order to qualify, a person must meet the Social Security Administration’s (SSA) definition of disability, and their disability must be expected to last at least a year or longer. The amount a person is eligible to receive is calculated by the SSA into a Primary Insurance Amount which takes into account multiple factors like the amount of taxes paid and the person’s income level. In some situations, a spouse or child may be eligible to receive SSDI payments due to another family member’s disability status.",ssdi
SSI,Contract Law,"Abbreviation, Supplemental Security Income .",ssi
stakeholder,Legal Theory & Latin Terms,"In business law, a stakeholder is a party who has an interest and might be affected by the performance and outcome of an entity’s business , project, or enterprise. Common examples of some of a corporation’s stakeholders are shareholders , investors , employees , suppliers, the community, and the government.",stakeholder
stand your ground,Legal Theory & Latin Terms,Stand your ground is a self-defense legal doctrine that allows a person to use reasonable force to protect themselves against an imminent threat of danger or death without attempting to retreat from the situation. Stand your ground contrasts the duty to retreat doctrine because the former permits necessary force regardless of whether the party can safely escape the situation. Stand your ground includes the use of deadly force when proportional to the threat of danger.,stand your ground
Standard and Poor’s 500 (S&P 500),Legal Theory & Latin Terms,,standard and poor’s 500 (s&p 500)
standard contract,Contract Law,"A standard contract is a pre-drafted agreement that is prepared in advance by one party for repeated use in multiple transactions involving different counterparties. Standard contracts streamline contracting by using uniform terms, reducing negotiation time, and promoting consistency across similar transactions. They are often used in consumer transactions, employment agreements, insurance policies, real-estate forms, and commercial settings.",standard contract
standard mileage rate,Legal Theory & Latin Terms,"Standard mileage rate is a basic tax deduction per mile offered by the IRS for individuals traveling for business, medical, and charitable purposes. An individual must report the amount of covered miles to the IRS in order to claim a tax deduction, and the individual must either use the standard mileage rate or calculate their actual costs per mile. Calculating the cost yourself can be challenging and requires receipts for all gas and auto upkeep. Instead, an individual can simply multiply their mileage by the standard mileage rate and receive that for a tax deduction. For example, Mary used 1,000 business miles, and she used the business standard mileage rate of 50 cents per mile. She could deduct $500 from her taxable income . Standard mileage rates differ for business, medical, and charitable deductions because business deductions take into consideration other auto costs while medical and charitable deductions usually only include fuel costs. The rates as of 2021 were 56, 14, and 16 cents per mile for business, charitable, and medical expenses respectively. For updated and old standard mileage rates, see the IRS chart for standard mileage rates .",standard mileage rate
standard of care,Healthcare Law,"Standard of care is an essential concept in determining whether a person was negligent and potentially liable for a tort . If a person breaches the standard that applies to them and their actions cause harm to another person, they will be liable for negligence.",standard of care
standard of review,Administrative Law,A standard of review is the level of scrutiny an appellate court applies to prior decisions made by lower courts or agencies . The levels of review are as follows:,standard of review
Standard Oil Co. of New Jersey v. United States (1911),Legal Theory & Latin Terms,"Standard Oil Co. of New Jersey v. United States (1911) is a U.S. Supreme Court case holding that Standard Oil Company, a major oil conglomerate in the early 20 th century, violated the Sherman Antitrust Act through anticompetitive actions, i.e. forming a monopoly, and ordered that the company be geographically split.",standard oil co. of new jersey v. united state (1911)
standard player contract (SPC),Contract Law,"A standard player contract (SPC) is a Sports Law practice that describes a model or league-standard written agreement between professional athletes and a club, team, organization, etc., outlining the conditions of the relationship. For example, a professional baseball player signs an SPC to play for the Los Angeles Dodgers. Standard player contracts include league-specific requirements such as minimum standards of employment and compensation , dispute resolutions , or notices about relevant regulations . SPCs are boilerplate contracts; however, they are negotiated and amended based on the needs of the parties . Individual player contracts most often differ from the SPCs through salaries and terms of employment.",standard player contract (spc)
standing,Legal Theory & Latin Terms,"Standing, or locus standi , is the capacity of a party to bring a lawsuit in court. To have standing, a party must demonstrate a sufficient connection to and harm from the law or action being challenged .",standing
Star Athletica v. Varsity Brands (2017),Legal Theory & Latin Terms,,star athletica v. varsity brand (2017)
star chamber proceedings,Legal Theory & Latin Terms,"Star chamber proceeding is a phrase used in litigation to refer to an arbitrary and unfair adjudicatory proceeding. The term derives from the Star Chamber Courts of Medieval and early-modern England, which were at first used to try noblemen too powerful to be brought before common courts, but eventually became used to suppress anti-monarchical sentiment. Star Chamber Courts became seen as unfair, as they consisted of a committee of the king’s council, were conducted in secrecy, and especially during the reign of Charles I used torture to obtain confessions and suppress opposition.",star chamber proceeding
stare decisis,Legal Theory & Latin Terms,Stare decisis is the doctrine that courts will adhere to precedent in making their decisions . Stare decisis means “to stand by things decided” in Latin.,stare decisis
Starker exchange,Legal Theory & Latin Terms,See 1031 exchange .,starker exchange
Starting a new article,Legal Theory & Latin Terms,"From Wex, everyone's resource for law learning",starting a new article
state,Family Law & Estates/Trusts,"A state is a political division of a body of people that occupies a territory defined by frontiers. The state is sovereign in its territory (also referred to as jurisdiction ) and has the authority to enforce a system of rules over the people living inside it. That system of rules is commonly composed of a constitution , statutes , regulations , and common law .",state
state action,Legal Theory & Latin Terms,"State action refers to actions directly taken by or involving the government, bearing sufficient connection to be attributed to it. State action is the legal basis for a damages claim arising from a governmental violation of any person 's civil rights .",state action
state action antitrust immunity,Family Law & Estates/Trusts,"As explained in Parker v. Brown , 317 U.S. 341 (1943) , under the state-action doctrine , state and municipal authorities are immune from federal antitrust lawsuits for actions taken pursuant to a clearly expressed state policy that, when legislated, had foreseeable anticompetitive effects.",state action antitrust immunity
state action requirement,Legal Theory & Latin Terms,"The state action requirement refers to the requirement that in order for a plaintiff to have standing to sue over a law being violated, the plaintiff must demonstrate that the government (local, state, or federal), was responsible for the violation, rather than a private actor.",state action requirement
state court,Civil Procedure & Litigation,A state court is a court that has general jurisdiction within the specific state ’s territory. State courts are the final arbiters of the state’s constitution and statutes .,state court
state of emergency,Legal Theory & Latin Terms,"A state of emergency is a government declaration stating that because of some crisis, the normal workings of political and social life are suspended in the given jurisdiction.  A state of emergency may alter government operations, order specific action by individuals, and suspend regular civil rights .",state of emergency
state supreme court,Appellate & Supreme Court,State supreme court is a general term referring to the highest court in a state court system. The term may be used informally even if the official name of the court contains different terminology.,state supreme court
state's attorney,Legal Theory & Latin Terms,State's attorney is an attorney elected or appointed by local government officials to represent the state in a criminal case brought in a judicial district or designated county.,state's attorney
statehood (international law),International Law,The attributes of statehood under international law have traditionally been considered the following:,statehood (international law)
statement of change in equity,Legal Theory & Latin Terms,"A statement of change in equity , also called a statement of retained earnings, is a financial report that shows changes in a business owner’s equity over a specific period. It includes net profit or loss , dividends , owner withdrawals, changes in accounting policies, corrections of prior period errors, and movements in retained earnings or reserves.",statement of change in equity
status,Legal Theory & Latin Terms,"Status means a person’s legal condition, whether personal or proprietary.",status
status conference,Legal Theory & Latin Terms,"Status conference is a meeting that occurs before trial where attorneys from opposing parties and sometimes a judge meet. The nature of a status conference often will depend on the type of case. A status conference in a criminal case will often consist of prosecution and defense attorneys exchanging evidence , but they sometimes may involve discussing plea bargains . In civil cases , status conferences can involve exchanging evidence, stipulating to certain terms, and starting negotiations on a settlement agreement . Occasionally, a judge may attend a status conference to give their opinion on plea or settlement offers and setting timelines for other pre-trial matters.",status conference
statute,Contract Law,"A statute is a law enacted by legislation . Statutes are also called acts , such as the Civil Rights Act of 1964 or the Sarbanes-Oxley Act . Federal laws must be passed by both houses of Congress (the House of Representatives and the Senate) and usually require the President’s approval before taking effect.",statute
statute of frauds,Contract Law,"Statute of frauds is a statute requiring certain contracts to be in writing and signed by the parties bound by the contract. The purpose is to prevent fraud and other injury. The most common types of contracts to which the statute applies are contracts that involve the sale or transfer of land, (see: real estate transactions ), and contracts that cannot be completed within one year.",statute of fraud
statute of limitations,Legal Theory & Latin Terms,A statute of limitations is any law that bars claims after a certain period of time passes after an injury. The period of time varies depending on the jurisdiction and the type of claim.,statute of limitation
statute of repose,Legal Theory & Latin Terms,"A statute of repose is any law that bars claims after some action by the defendant , even if the plaintiff has not yet been injured. Since the time period begins to run from the date of the defendant's action even if the injury is yet to occur, a statute of repose is generally more favorable to defendants than a statute of limitations .",statute of repose
statutory construction,Legal Theory & Latin Terms,"Statutory construction, also known as statutory interpretation , is the process by which courts interpret and apply legislation . While some statutes may have a plain meaning, many contain ambiguity that may need to be resolved by a judge . To determine the meaning of a statute, judges use various tools of interpretation, including traditional canons of statutory interpretation, legislative history, and statutory purpose.",statutory construction
statutory damages,Contract Law,"Statutory damages are a type of damages awarded in a successful claim to compensate for an injury or loss, whose amount is pre-established by statute . Statutory damages are commonly used in areas of the law in which it might be complex to establish the degree of harm or loss caused to the plaintiff .",statutory damage
statutory interpretation,Legal Theory & Latin Terms,"Statutory interpretation, also known as statutory construction , is the process by which courts interpret and apply legislation . While some statutes may have a plain meaning, many contain ambiguity that may need to be resolved by a judge . To determine the meaning of a statute, judges use various tools of interpretation, including traditional canons of statutory interpretation, legislative history, and statutory purpose.",statutory interpretation
statutory lien,Contract Law,"Statutory lien is a category of liens that stem from statutes and do not depend on the common law or specific contractual provisions for their existence. Nevertheless, many statutory liens are codifications of liens that exist under the common law. In this sense, common law decisions may continue to inform judicial decisions regarding statutory liens.",statutory lien
statutory offer of settlement,Contract Law,"Statutory offer of settlement is a monetary offer extended to a plaintiff by a defendant to settle all disputes before trial . Usually the plaintiff has a short period of time depending on the state and case to accept the offer. If the plaintiff accepts the offer, the settlement will be filed with the court and will be enforceable. If the plaintiff declines the offer and no other settlement is met, the case will go to trial. A plaintiff must seriously consider the offer because in most jurisdictions the plaintiff will not be able to recover costs if their judgment is less than the settlement offer, and trial costs can easily cost thousands of dollars. And in some states like Colorado, the defendant can actually receive costs from the plaintiff if the judgment for the plaintiff was less than the defendant’s settlement offer.",statutory offer of settlement
statutory rape,Criminal Law & Procedure,"Statutory rape is defined by statute as an act of sexual intercourse with a person under the age of consent , which is considered to constitute rape under the law, whether the person is willing or not. In statutory rape, there is usually no overt force or threat. Because minors are legally incapable of consenting to such acts, the law presumes that all sexual activity with a person below a certain age is coercive. Further, sexual relations with prepubescent children are usually considered a more serious crime .",statutory rape
statutory share,Legal Theory & Latin Terms,"Statutory share (also called forced , elective , or spousal share ) refers to the amount state laws entitle a spouse or other person to regardless of what is in a will . Usually, statutory share will refer to the amount a person will be able to receive when their spouse passes. Statutory shares prevent spouses from changing the amount through a will as with intestacy laws . Instead, a person can either take what is in the spouse’s will or what the state statutory share laws would give. States differ on how much spousal statutory shares should be. The traditional share was one-third, but some states have specific dollar amounts, different percentages, or base the amount on length of marriage and amount of kids the couple had together.",statutory share
