source,target,language_pair,Legal_Category
"epidemiological trends in animal and human populations, feed and food.",epidemiologische Entwicklungstendenzen in der Human- und Tierpopulation sowie bei Futter- und Lebensmitteln.,en-de,General Legal
"In some circumstances, it is appropriate to include all borrowings of the parent and its subsidiaries when computing a weighted average of the borrowing costs;","In manchen Fällen ist es angebracht, alle Fremdkapitalaufnahmen des Mutterunternehmens und seiner Tochterunternehmen in die Berechnung des gewogenen Durchschnittes der Fremdkapitalkosten einzubeziehen.",en-de,General Legal
_ OTHER PLATES AND RETRO-<REF>LECTING SIGNALS WHICH MUST BE USED TO COMPLY WITH A MEMBER STATE'S SPECIFICATIONS FOR USE AS REGARDS CERTAIN CATEGORIES OF VEHICLES OR CERTAIN METHODS OF OPERATION .,"sonstige reflektierende Schilder und Signale, die gemäß den Betriebsvorschriften eines Mitgliedstaats für bestimmte Fahrzeugkategorien oder bei bestimmten Betriebsweisen zu verwenden sind .",en-de,General Legal
"For most enterprises, the predominant source of risks and returns determines how the enterprise is organised and managed.","Für die meisten Unternehmen bestimmt der vorherrschende Ursprung der Risiken und Erträge, wie das Unternehmen organisiert und geleitet wird.",en-de,Corporate Law
References to the repealed Regulations shall be construed as references to this Regulation and shall be read in accordance with the correlation table in Annex V.,Bezugnahmen auf die aufgehobenen Verordnungen gelten als Bezugnahmen auf die vorliegende Verordnung und sind gemäß der in Anhang V enthaltenen Entsprechungstabelle zu lesen.,en-de,Administrative Law
The Commission shall in turn notify all the Member States of this.,Die Kommission teilt dies ihrerseits den Mitgliedstaaten mit.,en-de,General Legal
"Subject to paragraph 2, applications for the registration of a Community design as well as any other application or declaration provided for in Regulation (EC) No 6/2002 and all other communications addressed to the Office shall be submitted as follows:",Vorbehaltlich des Absatzes 2 sind Anmeldungen eines Gemeinschaftsgeschmacksmusters sowie alle anderen in der Verordnung (EG) Nr. 6/2002 vorgesehenen Anträge und Mitteilungen dem Amt wie folgt zu übermitteln:,en-de,Administrative Law
"In order to safeguard consumers against statements which might otherwise be made with the fraudulent intent of obtaining prices higher than those prevailing for eggs of hens raised in batteries or standard grade eggs, it is necessary to lay down minimum husbandry criteria to be respected, except in the case of organic rearing, which is covered by Regulation (EEC) No 2092/91.","Zum Schutz der Verbraucher gegen irreführende Angaben, die sonst in der betrügerischen Absicht gemacht werden könnten, höhere Preise zu erzielen, als sie für Eier von Legehennen aus Käfigbatteriehaltung oder für ""Standard""-Eier gelten, müssen bestimmte Mindestkriterien für die Tierhaltung festgelegt werden, ausgenommen für die ökologische Tierhaltung, die unter die Verordnung (EWG) Nr. 2092/91 fällt.",en-de,Administrative Law
ACP + OCTs (Article 13 of Regulation (EC) No 638/2003).,AKP + ÜLG (Artikel 13 der Verordnung (EG) Nr. 638/2003).,en-de,Constitutional Law
"exclusively used in aquaculture as defined in Annex III, 2.2 of Council Regulation (EC) No 2792/1999, or",ausschließlich in der Aquakultur im Sinne von Anhang III Ziffer 2.2 der Verordnung (EG) Nr. 2792/1999 eingesetzt werden oder die,en-de,Administrative Law
"changes in management structure, for example, eliminating a layer of management;","Änderungen in der Struktur des Managements, z. B. Auflösung einer Managementebene;",en-de,General Legal
"THEN PREPARE BY SUCCESSIVE DILUTIONS ( 1 + 1 ), USING THE BUFFER SOLUTION ( 4.3 ), THE FOLLOWING CONCENTRATIONS :",Dann werden die nachstehenden Konzentrationen mit dem Phosphatpuffer (4.3) durch aufeinander folgende Verdünnungen (1 + 1) hergestellt:,en-de,General Legal
"State aircraft as referred to in Article 3(b) of the Convention on International Civil Aviation, signed at Chicago on 7 December 1944;",Staatsluftfahrzeuge im Sinne von Artikel 3 Buchstabe b) des am 7. Dezember 1944 in Chicago unterzeichneten Abkommens über die internationale Zivilluftfahrt;,en-de,Civil Law
The calibration is checked by using a zero gas and a span gas whose nominal value is more than 80 % of full scale of the measuring range.,"Die Kalibrierung wird unter Verwendung eines Nullgases und eines Messbereichskalibriergases überprüft, dessen Nennwert mehr als 80 % des vollen Skalenendwerts des Messbereichs beträgt.",en-de,General Legal
The structure of an enterprise determines whether an asset meets this Standard's definition of corporate assets for a particular cash-generating unit.,"Die Struktur eines Unternehmens bestimmt, ob ein Vermögenswert die Definition dieses Standards für gemeinschaftliche Vermögenswerte einer bestimmten zahlungsmittelgenerierenden Einheit erfuellt.",en-de,Corporate Law
"However, where a payment is to be made on account before the goods are delivered or the services are performed, the tax shall become chargeable on receipt of the payment and on the amount received.","Werden jedoch Anzahlungen geleistet, bevor die Lieferung von Gegenständen oder die Dienstleistung bewirkt ist, so entsteht der Steueranspruch zum Zeitpunkt der Vereinnahmung entsprechend dem vereinnahmten Betrag.",en-de,Tax Law
The following substance(s) is(are) inserted in Annex I to Regulation (EEC) No 2377/90,Der folgende Stoff wird in Anhang I der Verordnung (EWG) Nr. 2377/90 aufgenommen:,en-de,Administrative Law
Entry into force and applicability,Inkrafttreten und Gültigkeit,en-de,General Legal
IAS 41 is operative for annual financial statements covering periods beginning on or after 1 January 2003.,IAS 41 ist erstmals in der ersten Berichtsperiode eines am 1. Januar 2003 oder danach beginnenden Geschäftsjahres anzuwenden.,en-de,General Legal
Establishment of the budget,Aufstellung des Haushaltsplans,en-de,General Legal
Proof that the special export tax mentioned in Articles 2 and 3 of Regulation (EEC) No 1234/71 has been paid shall be furnished to the competent authority of the importing Member State by presentation of movement certificate A.TR.1.,"Der Nachweis, dass die in den Artikeln 2 und 3 der Verordnung (EWG) Nr. 1234/71 genannte besondere Ausfuhrabgabe entrichtet worden ist, erfolgt durch die Vorlage der Warenverkehrsbescheinigung nach Formblatt A.TR.1 bei der zuständigen Behörde des einführenden Mitgliedstaats.",en-de,Administrative Law
In many cases sufficient objective evidence will not exist until the new legislation is enacted.,In vielen Fällen dürften bis zur Verabschiedung der neuen Gesetze nicht hinreichend objektive substanzielle Hinweise vorliegen.,en-de,General Legal
"disposals of items of property, plant and equipment;",Abgang von Vermögenswerten der Sachanlagen;,en-de,Property Law
Egmont 1,Egmont 1,en-de,General Legal
Poland:,Polen:,en-de,General Legal
"Having regard to Council Regulation (EC) No 1257/1999 of 17 May 1999 on support for rural development from the European Agricultural Guidance and Guarantee Fund (EAGGF) and amending and repealing certain Regulations(1), and in particular Article 53(1) thereof,","gestützt auf die Verordnung (EG) Nr. 1257/1999 des Rates vom 17. Mai 1999 über die Förderung der Entwicklung des ländlichen Raums durch den Europäischen Ausrichtungs- und Garantiefonds für die Landwirtschaft (EAGFL) und zur Änderung bzw. Aufhebung bestimmter Verordnungen(1), insbesondere auf Artikel 53 Absatz 1,",en-de,Constitutional Law
Any intervention agency which uses an authorization granted under Article 1 shall remain responsible for products stored outside the territory of the State within whose jurisdiction it falls.,"Die Interventionsstelle, die von einer nach Artikel 1 erteilten Genehmigung Gebrauch macht, bleibt für die Erzeugnisse verantwortlich, die außerhalb des Hoheitsgebiets des Mitgliedstaats, dem sie untersteht, gelagert werden.",en-de,Constitutional Law
"By way of derogation from paragraph 1(b), officials under 63 years of age who, since taking up their duties, have, in order to establish or maintain pension rights, paid into a national pension scheme, a private insurance scheme or a pension fund of their choice which satisfies the requirements set out in paragraph 1, and whose service terminates for reasons other than death or invalidity without their qualifying for an immediate or deferred retirement pension, shall be entitled, on leaving the service, to a severance grant equal to the actuarial value of their pension rights acquired during service in the institutions.","Hat ein Beamter seit seinem Dienstantritt Zahlungen zum Erwerb oder zur Erhaltung von Versorgungsansprüchen an ein nationales Versorgungssystem, an eine Privatversicherung oder an einen privaten Pensionsfonds seiner Wahl geleistet, die bzw. der die Voraussetzungen nach Absatz 1 erfuellt, und scheidet er vor dem 63. Lebensjahr aus anderen Gründen als durch Tod oder Dienstunfähigkeit endgültig aus dem Dienst aus und ist dabei nicht zu dem sofortigen oder bis zu einem späteren Zeitpunkt ausgesetzten Bezug von Ruhegehalt berechtigt, so hat er abweichend von Absatz 1 Buchstabe b) Anspruch darauf, dass ihm bei seinem Ausscheiden aus dem Dienst ein Abgangsgeld gezahlt wird, dessen Betrag dem versicherungsmathematischen Gegenwert seiner Ruhegehaltsansprüche, die er aufgrund seiner Tätigkeit in den Organen erworben hat, entspricht.",en-de,Constitutional Law
Provisions of Community law must be consistent with that Convention with a view to its conclusion by the European Community.,Die Bestimmungen des Gemeinschaftsrechts müssen im Hinblick auf den Abschluss des Übereinkommens durch die Europäische Gemeinschaft mit dem Übereinkommen übereinstimmen.,en-de,General Legal
health status including lifestyle and other health determinants;,"Gesundheitszustand, einschließlich Lebensführung und anderer Gesundheitsfaktoren;",en-de,General Legal
The trading system should be based on the undertakings accepted under the Uruguay Round of multilateral trade negotiations.,"Die Handelsregelung sollte den Verpflichtungen Rechnung tragen, die in den multilateralen Handelsverhandlungen im Rahmen der Uruguay-Runde eingegangen worden sind.",en-de,General Legal
"any person who is voluntarily insured for one or more of the contingencies covered by the branches dealt with in this Regulation, under a social security scheme of a Member State for employed persons or for all residents or for certain categories of residents if such person has previously been compulsorily insured for the same contingency under a scheme for employed persons of the same Member State;","die gegen ein Risiko oder gegen mehrere Risiken, die von den unter diese Verordnung fallenden Zweigen erfaßt werden, im Rahmen eines für Arbeitnehmer, für alle Einwohner eines Mitgliedstaats oder für bestimmte Gruppen von Einwohnern geschaffenen Systems der sozialen Sicherheit eines Mitgliedstaats freiwillig versichert ist, wenn sie früher im Rahmen eines für die Arbeitnehmer desselben Mitgliedstaats errichteten Systems gegen das gleiche Risiko pflichtversichert war;",en-de,Administrative Law
"the main factors and influences determining performance, including changes in the environment in which the enterprise operates, the enterprise's response to those changes and their effect, and the enterprise's policy for investment to maintain and enhance performance, including its dividend policy;","die Hauptfaktoren und Einfluesse, welche die Ertragskraft bestimmen, einschließlich Veränderungen des Umfelds, in dem das Unternehmen operiert, die Reaktionen des Unternehmens auf diese Veränderungen und deren Auswirkungen sowie die Investitionspolitik des Unternehmens, um die Ertragskraft zu erhalten und zu verbessern, einschließlich der Dividendenpolitik;",en-de,Corporate Law
This variable shall comprise income from realised and unrealised capital gains and losses carried through the profit and loss account.,Diese Variable umfasst in der Gewinn- und Verlustrechnung ausgewiesene Erträge aus realisierten und nichtrealisierten Kapitalgewinnen und -verlusten.,en-de,General Legal
Level of Assurance,Gewährleistungsebene,en-de,General Legal
The officers carrying out the surveillance must at all times be able to prove that they are acting in an official capacity.,"Die observierenden Beamten müssen in der Lage sein, jederzeit ihre amtliche Funktion nachzuweisen.",en-de,General Legal
The Commission shall provide assistance to Member States for the implementation of quality assurance/quality control programmes;,Die Kommission unterstützt die Mitgliedstaaten bei der Umsetzung der Programme zur Qualitätssicherung/Qualitätskontrolle;,en-de,General Legal
protective equipment shall be placed in a well-defined place and shall be checked and cleaned after each use;,die Schutzausrüstungen müssen in einem dafür vorgesehenen Raum untergebracht und nach jedem Gebrauch geprüft und gereinigt werden;,en-de,General Legal
"evaluating the data provided by the applicant for authorisation to place the feed additive on the market, for the purpose of testing and evaluation or validation of the method for detection;",die Evaluierung der vom Antragsteller für die Zulassung zum Inverkehrbringen des Futtermittelzusatzstoffs zum Zweck der Erprobung und Evaluierung oder Validierung der Nachweismethoden vorgelegten Daten;,en-de,General Legal
It shall involve waiving established entitlements where appropriate.,Außerdem umfaßt sie gegebenenfalls den Verzicht auf festgestellte Forderungen.,en-de,General Legal
Exactly what the Commission's approval covers in the case of such measures should be specified.,"Es muss geklärt werden, auf welche Maßnahmen sich die Genehmigung der Kommission bezieht.",en-de,General Legal
"The law of the Member States shall be applicable to the calculation of technical reserves, the determination of categories of investments, and the valuation of assets.","Für die Berechnung der technischen Reserven, die Bestimmung der Anlagearten und die Bewertung der Aktiva ist das Recht des betreffenden Mitgliedstaats maßgebend.",en-de,General Legal
DISTILLATION AND TITRATION,Destillation und Titration,en-de,General Legal
"If the introduction of animals has been prohibited on any of the grounds set out in paragraph 3 (a) and the exporting country or the transit country, as the case may be, does not within eight hours authorise the return of them, the competent authority of the country of destination may order the animals to be slaughtered or destroyed.","Wenn die Einfuhr der Tiere aus einem der in Absatz (3) Buchstabe a) genannten Gründe verboten wurde und vom Versandland oder gegebenenfalls vom Transitland nicht binnen 8 Stunden eine Rückbeförderung genehmigt wird, so kann von der zuständigen Behörde des Bestimmungslandes die Schlachtung oder Tötung der betreffenden Tiere angeordnet werden.",en-de,Administrative Law
The reasons for the conclusion reached shall be annexed to the final opinion.,Die Gründe für die erzielten Schlussfolgerungen werden dem endgültigen Gutachten beigefügt.,en-de,General Legal
"Therefore, it is considered that the analysis of serious injury and causation for the EU-15 remains valid for the EU-25.","Daher wird davon ausgegangen, dass die Analyse der schweren Schädigung und der Schadensursache für die EU-15 auch für die EU-25 stichhaltig ist.",en-de,General Legal
from a tachograph card via a vehicle unit by an IDE connected to the VU.,von einer Kontrollgerätkarte über eine Fahrzeugeinheit durch ein an die FE angeschlossenes IDE.,en-de,General Legal
"If the deficiencies referred to in paragraph 3(a) and (d) are not remedied before the time limit expires, the Office shall reject the application.","Werden die in Absatz 3 Buchstaben a) und d) bezeichneten Mängel nicht fristgemäß behoben, so weist das Amt die Anmeldung zurück.",en-de,General Legal
Occhio di Pernice,Occhio di Pernice,en-de,General Legal
Related party - parties are considered to be related if one party has the ability to control the other party or exercise significant influence over the other party in making financial and operating decisions.,"Nahe stehende Unternehmen und Personen - Unternehmen und Personen werden als nahe stehend betrachtet, wenn eine der Parteien über die Möglichkeit verfügt, die andere Partei zu beherrschen oder einen maßgeblichen Einfluss auf deren Finanz- und Geschäftspolitik auszuüben.",en-de,Contract Law
"""Article 103","""Artikel 103",en-de,Constitutional Law
The reduced or suspended amount shall be equivalent to the amount of the irregularities actually discovered by the Commission.,Der gekürzte oder ausgesetzte Betrag entspricht der Höhe der von der Kommission festgestellten Unregelmäßigkeiten.,en-de,General Legal
"Formaldehyde, reaction products with propylene glycol","Formaldehyd, Reaktionsprodukte mit Propylenglykol",en-de,General Legal
"Within three years of the entry into force of Directive 2004/726/EC, the Commission shall, following consultations with patients' and consumers' organisations, doctors' and pharmacists' organisations, Member States and other interested parties, present to the European Parliament and the Council a report on current practice with regard to information provision - particularly on the Internet - and its risks and benefits for patients.","Die Kommission legt innerhalb von drei Jahren nach Inkrafttreten der Richtlinie 2004/726/EG dem Europäischen Parlament und dem Rat nach Konsultation der Patienten- und Verbraucherorganisationen, der Ärzte- und Apothekerorganisationen sowie der Mitgliedstaaten und der anderen beteiligten Parteien einen Bericht über die gegenwärtigen Praktiken im Informationsbereich vor, insbesondere über Informationen, die durch das Internet verbreitet werden, sowie über die Gefahren und Vorteile dieser Praktiken für die Patienten.",en-de,General Legal
Subject to Article 3 (3) the following measures shall be taken:,Vorbehaltlich des Artikels 3 Absatz 3 werden folgende Maßnahmen getroffen:,en-de,Constitutional Law
"Indication of particular safeguard obligation to which the nuclear material is subject, if applicable.","Gegebenenfalls sind die besonderen Kontrollverpflichtungen anzugeben, denen das Kernmaterial unterliegt.",en-de,Contract Law
It is therefore necessary for the detailed implementation measures to be duly adjusted to the special circumstances of each activity and to the sensitivity of certain measures.,Daher müssen die einzelnen Durchführungsmaßnahmen sorgfältig an die besonderen Bedingungen jedes einzelnen Bereichs unter Berücksichtigung der Sensibilität bestimmter Maßnahmen angepasst werden.,en-de,General Legal
"When farmer was granted payments referred to in Article 47, but had no hectares as referred to in Article 43 in the reference period, or the entitlement per hectare results in an amount higher than EUR 5000, the farmer shall have right, respectively, to a payment entitlement:","Hat ein Betriebsinhaber im Bezugszeitraum Zahlungen nach Artikel 47 ohne Flächen im Sinne des Artikels 43 bezogen oder ergibt der Zahlungsanspruch pro Hektar einen Betrag von über 5000 EUR, so hat der Betriebsinhaber entsprechend ein Recht auf Zahlungsansprüche,",en-de,Constitutional Law
"Within five years from the date of the Agency having taken up its responsibilities, the Administrative Board should commission an independent external evaluation in order to assess the impact of this Regulation, the Agency and its working practices on establishing a high level of maritime safety and prevention of pollution by ships,","Der Verwaltungsrat sollte binnen fünf Jahren nach Aufnahme der Arbeit der Agentur eine unabhängige externe Evaluierung in Auftrag geben, um die Auswirkung dieser Verordnung, der Agentur und ihrer Arbeitsverfahren auf die Schaffung eines hohen Maßes an Sicherheit im Seeverkehr und der Verhütung von Verschmutzung durch Schiffe bewerten zu lassen -",en-de,Administrative Law
Warning of a power supply interruption event may be delayed until the power supply is reconnected.,Die Warnung für das Ereignis Unterbrechung der Stromversorgung kann bis zur Wiederherstellung der Stromversorgung aufgeschoben werden.,en-de,General Legal
EUR 4 million.,4 Mio. EUR.,en-de,General Legal
"For bluefin tuna this tolerance limit is set at 10 % of the number of fish per landing of the total bluefin tuna catches or their equivalent in percentage in weight.""","Im Fall von Rotem Thun wird diese Obergrenze auf einen zahlenmäßigen Anteil von 10 % der angelandeten Gesamtmengen an Rotem Thun oder einen äquivalenten Anteil in Gewicht festgesetzt.""",en-de,General Legal
"""One of the following endorsements, underlined in red, shall be entered in section 22 of replacement licences, certificates or extracts:","""Die Ersatzlizenz oder die Ersatz-Teillizenz enthält ferner in Feld 22 rot unterstrichen eine der folgenden Angaben:",en-de,General Legal
"For the purposes of measuring asbestos in the air, as referred to in the preceding paragraph, only fibres with a length of more than five micrometres and a length/breadth ratio greater than 3: 1 shall be taken into consideration.","Für die Messung nach Unterabsatz 1 werden nur Fasern mit einer Länge von mehr als fünf Mikrometer, einer Breite von weniger als drei Mikrometer und einem Länge-Breite-Verhältnis von mehr als 3: 1 berücksichtigt.",en-de,Contract Law
"Council Regulation (EC) No 2200/96 (fruit and vegetables)(18),","Verordnung (EG) Nr. 2200/96 des Rates (Obst und Gemüse)(18),",en-de,Administrative Law
Article 15 shall be amended as follows:,7. Artikel 15 wird wie folgt geändert:,en-de,Constitutional Law
facilities enabling the veterinary inspections provided for in this Directive to be carried out efficiently at any time;,"Einrichtungen, die jederzeit eine wirksame Durchführung der in dieser Richtlinie vorgeschriebenen tierärztlichen Untersuchung gestatten;",en-de,General Legal
"the effective unbundling of accounts as referred to in Article 17, to ensure there are no cross subsidies between transmission, distribution, storage, LNG and supply activities;","tatsächliche Entflechtung der Rechnungslegung entsprechend Artikel 17 zur Verhinderung von Quersubventionen zwischen den Fernleitungs-, Verteilungs-, Speicher-, LNG- und Versorgungstätigkeiten;",en-de,Constitutional Law
"the second subparagraph is replaced by the following:""In such case the institution in which the official serves shall, taking into account the official's basic salary, age and exchange rate at the date of application for a transfer, determine by means of general implementing provisions the number of years of pensionable service with which he shall be credited under the Community pension scheme in respect of the former period of service, on the basis of the capital transferred, after deducting an amount representing capital appreciation between the date of the application for a transfer and the actual date of the transfer."";","Unterabsatz 2 erhält folgende Fassung:""In diesem Fall legt das Organ, bei dem der Beamte im Dienst steht, unter Berücksichtigung des Grundgehalts, des Alters und des Wechselkurses zum Zeitpunkt des Antrags auf Übertragung mittels allgemeiner Durchführungsbestimmungen die Anzahl der ruhegehaltsfähigen Dienstjahre fest, die es ihm gemäß der Versorgungsordnung der Gemeinschaften für die frühere Dienstzeit unter Zugrundelegung des übertragenen Kapitals und abzüglich des Wertzuwachses zwischen dem Zeitpunkt des Antrags auf Übertragung und der tatsächlichen Übertragung anrechnet.""",en-de,Labor Law
the persons present;,anwesende Personen;,en-de,General Legal
food consumption and the exposure of individuals to risks related to the consumption of food;,"den Verzehr von Lebensmitteln und die Exposition von Menschen gegenüber den damit verbundenen Risiken,",en-de,General Legal
"conventional two-stroke engines with a ceramic catalyst of the same active material and loading, and the same number of cells per cm2,",Herkömmliche Zweitaktmotoren mit einem Keramikkatalysator mit dem gleichen aktiven Material und Füllstoff und der gleichen Anzahl von Zellen je cm2,en-de,General Legal
REMARKS,Bemerkungen ...,en-de,General Legal
Compensation payments shall be made on a regular basis with regard to a given period of time in the past.,Die Ausgleichszahlungen werden regelmäßig für einen bestimmten Zeitraum in der Vergangenheit geleistet.,en-de,Civil Law
"In accordance with the contract, the Commission shall take any useful steps to ensure that the objectives of the indirect action are achieved with proper regard for the financial interests of the Community.","In Übereinstimmung mit dem Vertrag trifft die Kommission unter Berücksichtigung der finanziellen Interessen der Gemeinschaft alle Maßnahmen, die der Verwirklichung der Ziele der indirekten Maßnahme dienen.",en-de,Contract Law
New infrastructure,Neue Infrastrukturen,en-de,General Legal
The derogation from the permit requirement referred to in Article 11(1)(b) of Directive 75/442/EEC may apply to recovery operations concerning WEEE if an inspection is carried out by the competent authorities before the registration in order to ensure compliance with Article 4 of Directive 75/442/EEC.,"Die Ausnahme von der Genehmigungspflicht nach Artikel 11 Absatz 1 Buchstabe b) der Richtlinie 75/442/EWG kann auf Verwertungstätigkeiten für Elektro- und Elektronik-Altgeräte angewandt werden, wenn die zuständigen Behörden vor der Registrierung im Hinblick auf die Einhaltung von Artikel 4 der Richtlinie 75/442/EWG eine Inspektion durchführen.",en-de,Corporate Law
Agreements with third countries,Abkommen mit Drittländern,en-de,General Legal
The persons concerned must consent.,Die betroffenen Personen müssen dem zustimmen.,en-de,General Legal
Tasks of the director,Aufgaben des Direktors,en-de,Corporate Law
The enterprise should measure the asset at fair value.,Das Unternehmen hat den Vermögenswert mit dem beizulegenden Zeitwert zu bewerten.,en-de,Corporate Law
Components of tax expense (income) may include:,Zu den Bestandteilen des Steueraufwandes (Steuerertrages) kann Folgendes gehören:,en-de,Tax Law
HAVE AGREED AS FOLLOWS:,HABEN FOLGENDES VEREINBART:,en-de,General Legal
"this figure may not, however, exceed 3,5 % of the sum of the differences between the relevant capital sums of life assurance activities and the mathematical provisions for all policies for which Zillmerising is possible;","dieser Betrag darf jedoch für sämtliche Verträge, bei denen eine Zillmerung möglich ist, 3,5 v. H. der Summe der Unterschiedsbeträge zwischen dem in Betracht kommenden Kapital der Tätigkeit ""Leben"" und den mathematischen Rückstellungen nicht überschreiten;",en-de,General Legal
in which the proceedings have at that date been stayed in accordance with the last sentence of the third paragraph of Article 54 of the Protocol on the Statute of the Court of Justice;,das Verfahren zu diesem Zeitpunkt gemäß Artikel 54 Absatz 3 letzter Satz des Protokolls über die Satzung des Gerichtshofs ausgesetzt ist,en-de,Criminal Law
"Where the systematic internaliser is quoting in different sizes and receives an order between those sizes, which it chooses to execute, it shall execute the order at one of the quoted prices in compliance with the provisions of Article 22, except where otherwise permitted under the conditions of the previous two subparagraphs.","Gibt ein systematischer Internalisierer Kursofferten in verschiedenen Größen an, und erhält er einen Auftrag, den er ausführen will, der zwischen diesen Größen liegt, so führt er den Auftrag gemäß den Bestimmungen des Artikels 22 zu einem der quotierten Kurse aus, außer in den Fällen, in denen gemäß den beiden vorangehenden Unterab-sätzen etwas anderes zulässig ist.",en-de,Corporate Law
"The steel market has also been unsettled by the uncertainty and hedging caused by the possibility of import restrictions on the US market following the US administration's ""Section 201"" safeguard investigation.","Der Stahlmarkt wird ferner durch Unsicherheit und vorgreifendes Verhalten im Zusammenhang mit Einfuhrbeschränkungen für den amerikanischen Markt beeinträchtigt, die nach Abschluss der von der amerikanischen Regierung durchgeführten Untersuchung nach der Schutzbestimmung ""Section 201"" eingeführt werden könnten.",en-de,Criminal Law
totaliser data according to paragraph 15.1;,Zählwerksdaten gemäß Nummer 15.1;,en-de,General Legal
The end of the extension tube of the condenser must be below the surface of the solution.,Das Ende des Kühlers muß unter die Oberfläche der vorgelegten Maßlösung reichen.,en-de,General Legal
The amendments required to adapt to technical progress the Annex to this Directive shall be adopted according to the procedure laid down in Article 7.,Die zur Anpassung an den technischen Fortschritt erforderlichen Änderungen des Anhangs zu dieser Richtlinie werden nach dem Verfahren des Artikels 7 festgelegt.,en-de,Constitutional Law
"a herd identifier and animal location system, preferably computerised;",ein vorzugsweise computergestütztes System zur Ermittlung von Beständen und zur Ortung von Tieren;,en-de,General Legal
Bosco Eliceo,Bosco Eliceo,en-de,General Legal
"In order better to ensure that, amongst other things, third countries grant Community carriers comparable treatment, a procedure should be established enabling the Community more efficiently to take action against third countries which do not grant treatment comparable to that granted in the Community.","Damit besser gewährleistet ist, dass Drittländer den Luftfahrtunternehmen der Gemeinschaft unter anderem eine vergleichbare Behandlung gewähren, sollte ein Verfahren eingeführt werden, das es der Gemeinschaft ermöglicht, wirksamere Maßnahmen gegenüber Drittländern zu ergreifen, die keine Behandlung gewähren, die mit der in der Gemeinschaft vergleichbar ist.",en-de,General Legal
The materiality principle means that all operations which are of significance for the information sought shall be taken into account in the financial statements.,"Der Grundsatz der relativen Wesentlichkeit besagt, dass alle für die angestrebte Information relevanten Transaktionen in den Jahresabschlüssen erfasst werden.",en-de,General Legal
"Any claim, declaration or appeal which should have been submitted, in application of the legislation of one Member State, within a specified period to an authority, institution or tribunal of that Member State shall be admissible if it is submitted within the same period to a corresponding authority, institution or tribunal of another Member State.","Anträge, Erklärungen oder Rechtsbehelfe, die gemäß den Rechtsvorschriften eines Mitgliedstaats innerhalb einer bestimmten Frist bei einer Behörde, einem Träger oder einem Gericht dieses Mitgliedstaats einzureichen sind, können innerhalb der gleichen Frist bei einer entsprechenden Behörde, einem entsprechenden Träger oder einem entsprechenden Gericht eines anderen Mitgliedstaats eingereicht werden.",en-de,Administrative Law
"If the quantity not marketed exceeds 5 %, no seed aid shall be granted for the marketing year concerned.","Liegt die nicht vermarktete Menge über 5 %, so wird für das betreffende Wirtschaftsjahr keine Saatgutbeihilfe gewährt.",en-de,General Legal
"Paragraph 3 shall not be invoked against undertakings or associations of undertakings which, before the day following publication of this Regulation in the Official Journal of the European Communities, shall have terminated any agreements, decisions or concerted practices to which they are party.","Die Vorschrift des Absatzes 3 kann Unternehmen und Unternehmensvereinigungen, die sich von Vereinbarungen, Beschlüssen oder aufeinander abgestimmten Verhaltensweisen vor dem Tag, der auf die Veröffentlichung dieser Verordnung im Amtsblatt der Europäischen Gemeinschaften folgt, losgesagt haben, nicht entgegengehalten werden.",en-de,Contract Law
the payment declaration referred to in Article 26(1) of Regulation (EC) No 800/1999;,Zahlungserklärung gemäß Artikel 26 Absatz 1 der Verordnung (EG) Nr. 800/1999;,en-de,Constitutional Law
The losses applicable to the minority in a consolidated subsidiary may exceed the minority interest in the equity of the subsidiary.,Die auf Minderheitsanteile entfallenden Verluste eines konsolidierten Tochterunternehmens können den auf diese Anteile entfallenden Anteil am Eigenkapital des Tochterunternehmens übersteigen.,en-de,General Legal
"As regards the technical support function of the Schengen Information System, the joint supervisory authority shall have the task of checking that the provisions of this Convention are properly implemented.","In Bezug auf die technische Unterstützungseinheit hat die gemeinsame Kontrollinstanz die Aufgabe, die richtige Anwendung der Bestimmungen dieses Übereinkommens zu überprüfen.",en-de,Administrative Law
"In those cases, provisions should be made to allow a smooth transition from the import licence system to the first-come, first-served system.","In diesen Fällen sind Vorschriften einzuführen, um einen reibungslosen Übergang von der Einfuhrlizenzregelung auf das Windhundverfahren vorzusehen.",en-de,General Legal
Vietnam,Vietnam,en-de,General Legal
"Member States shall take all appropriate measures to prevent the use of marks liable to create confusion between headlamps which function as main-beam and/or dipped-beam headlamps and filament lamps for such headlamps which have been type-approved pursuant to Article 1, and other devices.","Die Mitgliedstaaten treffen alle zweckdienlichen Maßnahmen, um die Verwendung von Genehmigungszeichen zu verhindern, die zu einer Verwechslung zwischen Scheinwerfern für Fernlicht und/oder Abblendlicht sowie den für diese Scheinwerfer bestimmten Glühlampen eines Typs, für den eine EWG-Bauartgenehmigung nach Artikel 1 erteilt wurde, und anderen Einrichtungen führen können.",en-de,Constitutional Law
Executive Director,Direktor,en-de,Corporate Law
The marketing declaration for bluefin tuna fattened indicated in paragraph 2 must give the following information:,Die Vermarktungserklärung für gemästeten Roten Thun nach Absatz 2 muss folgende Angaben enthalten:,en-de,General Legal
Parts not intended for human consumption shall be processed under official supervision;,Nicht für den menschlichen Verzehr bestimmte Teile werden unter amtlicher Aufsicht verarbeitet;,en-de,General Legal
